rank,area,candidate_place,category,mention_count,sample_titles,sample_links
1,성수,포켓몬,popup,17,[성수 포켓몬 투어3] 서울숲 포켓몬 시크릿 포레스트 후기! 최단...|[성수 포켓몬 투어2] 올리브영N성수 포켓몬 30주년 파티 팝업...|서울 포켓몬 30주년 서울숲 메가페스타 웨이팅 후기|[성수 포켓몬 투어1] 메타몽 놀이터 웨이팅 꿀팁부터 한정판...|2026 포켓몬 메가페스타 일정부터 한정판 굿즈 종류까지 총정리,https://blog.naver.com/ejl0304-/224301823835|https://blog.naver.com/ejl0304-/224301806574|https://blog.naver.com/zzara64/224301806598|https://blog.naver.com/ejl0304-/224301778908|https://blog.naver.com/reviewer69/224301803363
2,성수,올리브영,popup,8,[성수 포켓몬 투어3] 서울숲 포켓몬 시크릿 포레스트 후기! 최단...|[성수 포켓몬 투어2] 올리브영N성수 포켓몬 30주년 파티 팝업...|[성수 포켓몬 투어1] 메타몽 놀이터 웨이팅 꿀팁부터 한정판...|5월 30일 성수 포켓몬 팝업 스토어 후기 (30주년 파티 올리브영...|성수 포켓몬스터 팝업 스토어 올리브영 골드 올리브 혜택 | 주말...,https://blog.naver.com/ejl0304-/224301823835|https://blog.naver.com/ejl0304-/224301806574|https://blog.naver.com/ejl0304-/224301778908|https://blog.naver.com/elly044/224301821306|https://blog.naver.com/jini1500/224301794276
3,성수,메타몽 놀이터,popup,4,[성수 포켓몬 투어3] 서울숲 포켓몬 시크릿 포레스트 후기! 최단...|[성수 포켓몬 투어1] 메타몽 놀이터 웨이팅 꿀팁부터 한정판...|5월 30일 성수 포켓몬 팝업 스토어 후기 (30주년 파티 올리브영...|성수 메타몽 놀이터 웨이팅 굿즈 입장 예약,https://blog.naver.com/ejl0304-/224301823835|https://blog.naver.com/ejl0304-/224301778908|https://blog.naver.com/elly044/224301821306|https://blog.naver.com/0chjk/224301633828
4,성수,멘야포모,restaurant,4,[성수]성수동 맛집 라멘 멘야포모|성수동 라멘 맛집 멘야포모에서 친구랑 데이트|성수동 맛집 라멘 멘치카츠 멘야포모 성수점|성수동 맛집 라멘 멘야포모 토마토똠양꿍라멘 치즈스페셜 세트...,https://blog.naver.com/jaeeun0885/224301768253|https://blog.naver.com/yumiyomi_opo/224301634555|https://blog.naver.com/vudod1/224297993583|https://blog.naver.com/msy911/224301564032
5,성수,토코보,popup,4,"성수 팝업 토코보 선스틱 , 이니스프리 무빙 팝업 , 클리오 서울숲...|[성수 데이트] 성수 팝업 데이트 (라코스테, 토코보, 뿔바투)|5월 4주 성수 팝업 모음 현장웨이팅|[성수 팝업] 토코보(TOCOBO) 팝업스토어 다녀온 솔직 후기...",https://blog.naver.com/slpbb/224301825084|https://blog.naver.com/colaunnie/224301753061|https://blog.naver.com/1210rudals/224301685672|https://blog.naver.com/yeja_life/224301591153
6,성수,능동미나리,restaurant,3,"[성수 맛집] 능동미나리 성수 솔직 후기! 미나리곰탕과...|[ 성수 ] 성수 맛집, 능동미나리 (능동 미나리곰탕, 육회비빔밥...|성수동 맛집 능동미나리 후기 성수동 도토리오븐 구움과자",https://blog.naver.com/ejl0304-/224301729809|https://blog.naver.com/watermeloneluv/224301713328|https://blog.naver.com/thgusaksu/224301647733
7,성수,도토리오븐,cafe,3,성수 감성 카페 도토리오븐 내돈내산 솔직 후기|성수동 맛집 능동미나리 후기 성수동 도토리오븐 구움과자|성수역맛집 도토리오븐 | 지브리 감성 가득한 그릭요거트...,https://blog.naver.com/eunsu_exe/224301703409|https://blog.naver.com/thgusaksu/224301647733|https://blog.naver.com/zldzld1223/224301596715
8,성수,무신사,popup,3,퀵뷰티 센슬 뮤트크림퍼퓸| A무신사 크림향수 찐후기|성수 기념일 데이트 코스 | 내돈내산 비프웰링턴 맛집 쏘옥 성수...|붉은기커버쿠션 샬랑드파리 커버쿠션 엑셀랑스 만족후기,https://blog.naver.com/ziwon93/224301802552|https://blog.naver.com/ganasdemundo/224292905039|https://blog.naver.com/kjiwoo01308/224301695247
9,성수,이니스프리,popup,3,"성수 팝업 토코보 선스틱 , 이니스프리 무빙 팝업 , 클리오 서울숲...|[성수,경희대,숭실대 팝업] 깐달걀 피부 만들기 이니스프리...|이니스프리X뷰티쁠 무빙 성수 팝업 스토어 100퍼 선물 받은 후기",https://blog.naver.com/slpbb/224301825084|https://blog.naver.com/trace_on_/224301753049|https://blog.naver.com/hogiacultural/224301742480
10,성수,토이스토리,popup,3,성수 토이스토리 파파존스 피자플래닛 팝업 총정리 (기간·메뉴...|5월 30일 성수 포켓몬 팝업 스토어 후기 (30주년 파티 올리브영...|성수 토이스토리 팝업 에서 앤디의 장난감이 되어보세요!...,https://blog.naver.com/kmiso77/224301821182|https://blog.naver.com/elly044/224301821306|https://blog.naver.com/millennialsworks/224301588601
