rank,term,count,keywords,sample_titles,sample_links
1,성수,1233,서울 카페|성수 카페|연남동 카페|을지로 카페|잠실 카페|한남동 카페,"자양4동A구역 신통 및 성수동 임장,현장에서만 느낄 수 있는점... | [성수 포켓몬 투어3] 서울 숲 포켓몬 시크릿 포레스트 후기! 최단... | 성수 토이스토리 파파존스 피자플래닛 팝업 총정리 (기간·메뉴...",https://blog.naver.com/sunshine_025/224301824171 | https://blog.naver.com/ejl0304-/224301823835 | https://blog.naver.com/kmiso77/224301821182
2,잠실,1027,서울 카페|성수 카페|연남동 카페|을지로 카페|잠실 카페|한남동 카페,만도와 그로구 그리고 자네 - 5월 일상 | I love you like fish loves the water | 잠실래미안아이파크 매물 세 자리 정리 — 104D 매매...,https://blog.naver.com/ally010308/224301797085 | https://blog.naver.com/soheon0604/224301790169 | https://blog.naver.com/songpa4988/224301768094
3,연남,1009,서울 카페|성수 카페|연남동 카페|을지로 카페|잠실 카페|한남동 카페,[홍대 맛집/만동제과] 연남동 빵집에서 만난 인생 홍대 빵맛집... | 홍대 연남 서울 팔찌 공방 추천 언커무드 가격 친구랑 팔찌... | [연남동]조앤도슨,https://blog.naver.com/rachel_0112/224301828331 | https://blog.naver.com/alldayisnewday/224301827507 | https://blog.naver.com/530justdoit/224301827322
4,을지로,998,서울 카페|성수 카페|연남동 카페|을지로 카페|잠실 카페|한남동 카페,덕수궁 돌담길 산책 후 광화문 맛집 햄버거 찾는다면?... | 을지로3가역 카페 맛집 코스 추천 | 인현골방·셀러워크꽃밭... | [ 서울 /종로3가] 시애틀 커피하우스 종로3가점 :: 서울 3대...,https://blog.naver.com/jinlogue/224301814082 | https://blog.naver.com/sosolife323/224301806296 | https://blog.naver.com/ggaonii/224301740961
5,연남동,987,서울 카페|성수 카페|연남동 카페|을지로 카페|잠실 카페|한남동 카페,"[홍대 맛집/만동제과] 연남동 빵집에서 만난 인생 홍대 빵맛집... | [연남동]조앤도슨 | 신상 맛집 5월 오픈, 꼭 알아야 할 정보",https://blog.naver.com/rachel_0112/224301828331 | https://blog.naver.com/530justdoit/224301827322 | https://blog.naver.com/kcl3598/224301028837
6,한남,868,서울 카페|성수 카페|연남동 카페|을지로 카페|잠실 카페|한남동 카페,오월 야호-⭐︎ | 한남동 이태리하우스 매매ㅣ복층 펜트하우스 테라스 세대 서울 ... | 한남동 조용한 베이글 맛집 카페 페이퍼블랑 | 패션 5 신상...,https://blog.naver.com/hiyhiy_/224301818873 | https://blog.naver.com/ys1top/224301777346 | https://blog.naver.com/hootooteee/224301776881
7,한남동,850,서울 카페|성수 카페|연남동 카페|을지로 카페|잠실 카페|한남동 카페,한남동 이태리하우스 매매ㅣ복층 펜트하우스 테라스 세대 서울 ... | 한남동 조용한 베이글 맛집 카페 페이퍼블랑 | 패션 5 신상... | 댄스댄스댄스 | 서울 한남동 두부크림치즈 샌드위치 카페 ...,https://blog.naver.com/ys1top/224301777346 | https://blog.naver.com/hootooteee/224301776881 | https://blog.naver.com/mingment11/224301773597
8,홍대,504,서울 카페|성수 카페|연남동 카페|을지로 카페|잠실 카페|한남동 카페,[홍대 맛집/만동제과] 연남동 빵집에서 만난 인생 홍대 빵맛집... | 홍대 연남 서울 팔찌 공방 추천 언커무드 가격 친구랑 팔찌... | 18.4,https://blog.naver.com/rachel_0112/224301828331 | https://blog.naver.com/alldayisnewday/224301827507 | https://blog.naver.com/wldbsrina/224301819559
9,성수동,221,서울 카페|성수 카페|연남동 카페|을지로 카페|잠실 카페|한남동 카페,"자양4동A구역 신통 및 성수동 임장,현장에서만 느낄 수 있는점... | [성수 포켓몬 투어3] 서울 숲 포켓몬 시크릿 포레스트 후기! 최단... | 성수 토이스토리 파파존스 피자플래닛 팝업 총정리 (기간·메뉴...",https://blog.naver.com/sunshine_025/224301824171 | https://blog.naver.com/ejl0304-/224301823835 | https://blog.naver.com/kmiso77/224301821182
10,강남,212,서울 카페|성수 카페|연남동 카페|을지로 카페|잠실 카페|한남동 카페,AEO(AI 답변 엔진 최적화)란 진짜 무엇인가? SEO 차이점 및... | 한세희의 SSAT 프렙마스터 체계적 SSAT 보딩 지원 집중 | 전회경영어학원 맞춤 지도로 성적 향상 도움,https://blog.naver.com/njoytoday/224301827786 | https://blog.naver.com/zzz_o_oz/224294400197 | https://blog.naver.com/ghn66/224293764291
11,연남동카페,210,서울 데이트 코스|서울 카페|연남동 데이트|연남동 카페|을지로 카페,[홍대 맛집/만동제과] 연남동 빵집에서 만난 인생 홍대 빵맛집... | 2026년 5월 | 홍대입구역 맛집 카페 버터앤쉘터 연남 디저트 버터샌드추천,https://blog.naver.com/rachel_0112/224301828331 | https://blog.naver.com/ending026/224301810245 | https://blog.naver.com/inhyessl/224301791271
12,종로,190,서울 카페|성수 카페|연남동 카페|을지로 카페|잠실 카페|한남동 카페,[ 서울 /종로] 식물 | 카페 추천 | 익선동 데이트코스 | 한옥 카페 ... | 종로 맛집 [파작] 요즘 핫한 청계천 인근에서 만날 수 있는... | 2026 5월 끗!!,https://blog.naver.com/tnwjd2854/224301825776 | https://blog.naver.com/ranislog/224300095551 | https://blog.naver.com/phk3966/224301814378
13,용산,162,서울 카페|성수 카페|연남동 카페|을지로 카페|잠실 카페|한남동 카페,카페 드 우영미 이태원 루프탑 카페 | 꾸덕한 그릭요거트와 브런치를 즐기는 용리단길 대형 카페 추천... | [용산] 그랜드 하얏트 서울 갤러리 애프터눈티 주말 후기｜메종...,https://blog.naver.com/hanyipman/224295780815 | https://blog.naver.com/mukzzangsong/224301810764 | https://blog.naver.com/xihyxnss/224301790797
14,명동,149,서울 카페|성수 카페|연남동 카페|을지로 카페|잠실 카페|한남동 카페,"7월 후쿠오카 날씨 총정리｜옷차림부터 여행 준비물, 실제... | 도보 3분, 명동 핵심 입지에서 보낸 서울 완전 정복 숙박 | 지난일을 현재진행형인 것처럼 떨쳐내지 못하다",https://blog.naver.com/now_n_forever112/224301819460 | https://blog.naver.com/stay_grade/224294045255 | https://blog.naver.com/rlarlaskskdusdus/224301797442
15,이태원,148,서울 카페|성수 카페|연남동 카페|을지로 카페|잠실 카페|한남동 카페,카페 드 우영미 이태원 루프탑 카페 | 서울 한옥 카페 /힐링과 자연이 있는 카페 | 55억에 샀는데 얼마나 올랐길래… 박명수 집 공개에 관심 폭발,https://blog.naver.com/hanyipman/224295780815 | https://blog.naver.com/polyscias151/224301793315 | https://blog.naver.com/najarnanvf2/224301748418
16,송파,142,서울 카페|성수 카페|연남동 카페|을지로 카페|잠실 카페|한남동 카페,송파맛집 추천 샤브올데이 망고올데이 시즌 시작! 생망고... | 잠실래미안아이파크 매물 세 자리 정리 — 104D 매매... | 대형 만화 카페 원플레이 잠실!닌텐도 보드게임 커플...,https://blog.naver.com/oliviasettia/224301775030 | https://blog.naver.com/songpa4988/224301768094 | https://blog.naver.com/ella_holiday/224301755069
17,서울숲,140,서울 카페|성수 카페|연남동 카페|을지로 카페|잠실 카페|한남동 카페,"서울 숲 카페 , 도쿄·홍콩까지 간 수플레 성수에서 직접... | [ 성수 포켓몬 투어3] 서울숲 포켓몬 시크릿 포레스트 후기! 최단... | 스물 아홉 5월",https://blog.naver.com/qufqlc525/224301704630 | https://blog.naver.com/ejl0304-/224301823835 | https://blog.naver.com/gaebyug01/224301821473
18,석촌,131,서울 카페|성수 카페|을지로 카페|잠실 카페|한남동 카페,5월 기록 | 만도와 그로구 그리고 자네 - 5월 일상 | [잠실찐맛집!!] 오봉집 잠실새내점 해물 요리의 맛을 느껴보세요,https://blog.naver.com/patato_/224301822444 | https://blog.naver.com/ally010308/224301797085 | https://blog.naver.com/jsh54007/224299763016
19,마포,128,서울 카페|성수 카페|연남동 카페|을지로 카페|잠실 카페|한남동 카페,[홍대] 메인스트림 스튜디오 / 셀프사진관 커플사진 추천 | 근래 먹은 케이크 중에 1등 합정 카페 추천 연예인단골 합정역... | 마포구 누수 문제 해결과 거실 징후 및 대처법,https://blog.naver.com/eulw0206/224301818618 | https://blog.naver.com/mukzzangsong/224301812919 | https://blog.naver.com/oolht2450/224301047543
20,홍대카페,114,서울 데이트|서울 데이트 코스|서울 카페|성수 카페|연남동 데이트|연남동 카페,[홍대 맛집] 뉴욕 감성 가득한 ‘베이글랜드 홍대점’ 솔직 후기... | 광고❌ 아임도넛 에스파 콜라보 한정판 도넛 4종 총정리 | 성수 ... | 2026년 5월,https://blog.naver.com/ssh90807/224301815579 | https://blog.naver.com/jurineeee/224300844864 | https://blog.naver.com/ending026/224301810245
21,석촌호수,110,서울 카페|성수 카페|잠실 카페|한남동 카페,5월 기록 | 만도와 그로구 그리고 자네 - 5월 일상 | [잠실찐맛집!!] 오봉집 잠실새내점 해물 요리의 맛을 느껴보세요,https://blog.naver.com/patato_/224301822444 | https://blog.naver.com/ally010308/224301797085 | https://blog.naver.com/jsh54007/224299763016
22,성수카페,109,서울 데이트|서울 데이트 코스|서울 카페|성수 데이트|성수 카페|한남동 데이트|한남동 카페,"성수빵지순례 [성수베이킹스튜디오] 바게트치아바타맛집 | 성수 데이트 코스 추천, 연못 뷰가 예쁜 ㅣ""ETF베이커리 성수"" | [성수 카페 ] 성수동의 복잡한 거리에서 살짝 벗어나...",https://blog.naver.com/alruddlaa/224301818635 | https://blog.naver.com/kye3103/224301795991 | https://blog.naver.com/age2010/224301755252
23,한남동카페,96,서울 데이트|서울 카페|성수 데이트|한남동 데이트|한남동 카페,코끼리베이글 성수 한남 빵지순례 웨이팅 | 한남동 조용한 베이글 맛집 카페 페이퍼블랑 | 패션 5 신상... | 한남동 대형 카페 애견동반 낫배드커피 야경 맛집 카페,https://blog.naver.com/luvluvwine/224301658848 | https://blog.naver.com/hootooteee/224301776881 | https://blog.naver.com/ddominido/224301692868
24,합정,83,서울 카페|성수 카페|연남동 카페|을지로 카페|잠실 카페|한남동 카페,근래 먹은 케이크 중에 1등 합정 카페 추천 연예인단골 합정역... | [캐시타고 대리운전] 홍대·상수 술자리 후 대리운전 안전하게... | [마포] 난 비가 오면 빵사냥을 나가 | 연남 버터베이커리...,https://blog.naver.com/mukzzangsong/224301812919 | https://blog.naver.com/sea984/224299941133 | https://blog.naver.com/yingshu_pick/224301777844
25,뚝섬,81,서울 카페|성수 카페|연남동 카페|을지로 카페|잠실 카페,서울 숲 카페 피리어드 Period 조용하고 시원한 통창뷰 맛집... | 서울 성수동맛집 터틀힙 성수 생일 케이크로 추천하는 성수 핫플 | 서울 성수동맛집 타코튜즈데이 성수 본점 감성 가득한 타코 맛집,https://blog.naver.com/haminhoo/224301799322 | https://blog.naver.com/wowhow112/224298515739 | https://blog.naver.com/wowhow112/224298515784
26,을지로카페,66,서울 데이트|서울 데이트 코스|을지로 카페,"을지로 3가역 카페 맛집 코스 추천 | 인현골방·셀러워크꽃밭... | [종로구/ 을지로 3가] 분위기 좋은 감성 카페 ""죠지"" | [ 을지로 맛집] 레트로 감성 제대로 느낄 수 있는 '커피 한약방'",https://blog.naver.com/sosolife323/224301806296 | https://blog.naver.com/max9871/224301718449 | https://blog.naver.com/supremelife2011/224301656499
27,광화문,65,서울 카페|성수 카페|연남동 카페|을지로 카페|잠실 카페|한남동 카페,"[광화문] 광화문 카페 커피 맛집 센터커피, 코코망고 후기 | 기다려 왔던 작은 빛이 내 안을 비추면 | 덕수궁 돌담길 산책 후 광화문 맛집 햄버거 찾는다면?...",https://blog.naver.com/behappy826/224301820961 | https://blog.naver.com/ennuit-/224301820514 | https://blog.naver.com/jinlogue/224301814082
28,망원,64,서울 카페|성수 카페|연남동 카페|을지로 카페|잠실 카페|한남동 카페,5월도 씩씩하게 | 정신승리도 승리다 | 5월,https://blog.naver.com/estherkim795/224301820978 | https://blog.naver.com/gangtthi/224301819415 | https://blog.naver.com/diddmsrud073/224301776991
29,성수동카페,63,서울 데이트|서울 데이트 코스|서울 카페|성수 데이트|성수 카페|한남동 카페,"[성수 카페 ] 성수동의 복잡한 거리에서 살짝 벗어나... | 서울 숲 카페 , 도쿄·홍콩까지 간 수플레 성수에서 직접... | 성수 핫플 소금빵 맛집 베통 성수 평일 오전 웨이팅 솔직후기",https://blog.naver.com/age2010/224301755252 | https://blog.naver.com/qufqlc525/224301704630 | https://blog.naver.com/mfp112/224301758624
30,감성카페,62,서울 데이트|서울 데이트 코스|서울 카페|성수 데이트|성수 카페|연남동 데이트|연남동 카페|을지로 카페|잠실 카페|한남동 데이트|한남동 카페,브런치 카페 감성 가득! 에그 베네딕트와 상큼한 레몬에이드의... | 상봉역 앞 숨은 보석 | 상봉 빵집 시즌모먼트 케이크&베이커리... | [양주 가비 카페 ]핑크 외관 보고 들어갔다가 정원 감성에 반한 곳,https://blog.naver.com/pj32742/224301810376 | https://blog.naver.com/ggullet/224301797848 | https://blog.naver.com/pk50935/224301735148
31,시청,61,서울 카페|성수 카페|을지로 카페|잠실 카페|한남동 카페,덕수궁 돌담길 산책 후 광화문 맛집 햄버거 찾는다면?... | 시청역 일식 전문점 참치공방 시청점에서 사내 독서모임 1주년... | 남산골 한옥마을-예장동 일대-명동역,https://blog.naver.com/jinlogue/224301814082 | https://blog.naver.com/monitor13777/224301802844 | https://blog.naver.com/sekim-1107/224301795126
32,동대문,60,서울 카페|성수 카페|연남동 카페|을지로 카페|잠실 카페|한남동 카페,"서울 동대문구 서울 성심병원장례식장 장례화환 근조한자... | 동대문 예식장, 놓치지 말아야 할 것 | 경기도 포천 메디힐장례식장 근조화환 납골당꽃 24시간꽃배달",https://jinc24.tistory.com/544 | https://blog.naver.com/zpwcejhgo976462_qw/224301738762 | https://snhsoul.tistory.com/253
33,압구정,58,서울 카페|성수 카페|연남동 카페|을지로 카페|잠실 카페|한남동 카페,한세희의 SSAT 프렙마스터 체계적 SSAT 보딩 지원 집중 | 압구정 스탠다드시스템 | 메탈 냄새 세게나는 우드톤 느좋 카페 ... | 29살 5월의 나,https://blog.naver.com/zzz_o_oz/224294400197 | https://blog.naver.com/oomnyaam/224300016620 | https://blog.naver.com/minemeee/224301807262
34,고양,50,서울 카페|성수 카페|연남동 카페|을지로 카페|잠실 카페|한남동 카페,[고양 카페 투어] 물구리빵집 샤스타데이지 실시간... | 18.4 | [하남 고양이 카페 ] 냥냥하우스 | 귀여운 고양이들과 시간보낼...,https://blog.naver.com/pusasa/224301827601 | https://blog.naver.com/wldbsrina/224301819559 | https://blog.naver.com/yeonii902/224301812132
