rank,term,count,keywords,sample_titles,sample_links
1,성수,1335,더현대 팝업|무료 전시|서울 전시|서울 팝업스토어|성수 팝업,[성수 포켓몬 투어3] 서울 숲 포켓몬 시크릿 포레스트 후기! 최단... | 2026 서울 국제정원박람회 방문기^_^ 서울 숲 정원 박람회에서... | [GM/쉐보레]인천계양구 쉐보레 대리점_외관감상기(2026년...,https://blog.naver.com/ejl0304-/224301823835 | https://blog.naver.com/flytothemoon__/224301819459 | https://blog.naver.com/club8383/224301818478
2,더현대,842,더현대 팝업|무료 전시|서울 전시|서울 팝업스토어|성수 팝업,국립더현대미술관 데미안허스트 전시 후기 예약예매 주차 | 여의도 '더현대 서울 '에서 <dacor>프리미엄주방가전을 만나다!! | 펠리칸솝X클럽 팝업 엉덩이비누팝업 클럽파우더,https://blog.naver.com/ssreview_/224301766919 | https://blog.naver.com/ygddalchun/224301753952 | https://blog.naver.com/vintage100609/224301735398
3,성수동,293,더현대 팝업|무료 전시|서울 전시|서울 팝업스토어|성수 팝업,2026 서울 국제정원박람회 방문기^_^ 서울 숲 정원 박람회에서... | [성수 포켓몬 투어2] 올리브영N성수 포켓몬 30주년 파티 팝업... | 2026 포켓몬 메가페스타 일정부터 한정판 굿즈 종류까지 총정리,https://blog.naver.com/flytothemoon__/224301819459 | https://blog.naver.com/ejl0304-/224301806574 | https://blog.naver.com/reviewer69/224301803363
4,여의도,223,더현대 팝업|무료 전시|서울 전시|서울 팝업스토어|성수 팝업,[캣츠 앤 독스] 하늘에서 본 지구 얀 아르튀스 베르트랑... | 여의도 '더현대 서울 '에서 <dacor>프리미엄주방가전을 만나다!! | 펠리칸솝X클럽 팝업 엉덩이비누팝업 클럽파우더,https://blog.naver.com/pink_psycho/224301827570 | https://blog.naver.com/ygddalchun/224301753952 | https://blog.naver.com/vintage100609/224301735398
5,강남,154,더현대 팝업|무료 전시|서울 전시|서울 팝업스토어|성수 팝업,강남역 디저트 카페 추천 셀렉티드 닉스 티라미수 루프탑 감성... | 강남 전시 회 씨엘아트갤... of Painting: Drawing》 전시 정보 | [강남 카페] 장원영 밀크티 성지 차지(CHAGEE) 강남 플래그십...,https://blog.naver.com/ghdidudgms/224301820912 | https://blog.naver.com/kenoop/224301801892 | https://blog.naver.com/lefca03/224301791309
6,성수팝업,149,서울 데이트|서울 팝업스토어|성수 데이트|성수 맛집|성수 카페|성수 팝업,[pop-up] 일리고 (illigo) 성수 팝업 hs preview 핫썸머 신상... | 바삭한 보카도가 매력적인 성수카페 – 보카도버터 성수 본점 | 성수 팝업｜영등포 베이글 맛집 테디스베이글 곰돌이 키링...,https://blog.naver.com/coolcoc93/224301794265 | https://blog.naver.com/80eun_98/224301647475 | https://blog.naver.com/ezzung_/224301161734
7,잠실,136,더현대 팝업|무료 전시|서울 전시|서울 팝업스토어|성수 팝업,05.14~05.15 1박 2일 서울 여행 ( in 롯데월드 ) 1일차 | 만도와 그로구 그리고 자네 - 5월 일상 | 롯데뮤지엄 2026 Verdy 전...,https://blog.naver.com/ileum700/224301810081 | https://blog.naver.com/ally010308/224301797085 | https://blog.naver.com/chello6443/224301750028
8,서울숲,128,더현대 팝업|무료 전시|서울 전시|서울 팝업스토어|성수 팝업,"포켓몬고 하면서 즐긴 서울 숲, 성수동 포켓몬스터 30주년 팝업... | 서울 숲 사진전 전시 | 포켓몬고 하면서 즐긴 서울 숲, 성수동 포켓몬스터 30주년 팝업 ...",https://blog.naver.com/j_o2_f/224301644321 | https://blog.naver.com/sonamuo0810/224301541418 | https://blog.naver.com/destiny0909/224301210990
9,홍대,111,더현대 팝업|무료 전시|서울 전시|서울 팝업스토어|성수 팝업,[후기] 홍대 AK몰 1층 죠죠 카라반 팝업 일요일 방문 후기 | 홍대 이목동그릇 /이경한도자기 | 띠아트뮤지엄 홍대 개관전 필립 예니카 럭키 럭키 럭키...,https://blog.naver.com/i__rabbit/224301792278 | https://blog.naver.com/skyfox_1004/224301772335 | https://blog.naver.com/dodud5683/224301752569
10,용산,106,더현대 팝업|무료 전시|서울 전시|서울 팝업스토어|성수 팝업,"국립중앙박물관 아이와 가볼만할까? 주차·입장료·관람포인트... | [용산&신도림] 서울 당일치기 코스(국중박, 용산아이파크몰... | 용산 서울 코어란? 용산국제업무지구 개발 계획과 2035년 완성...",https://blog.naver.com/honeyinfostudio/224301818496 | https://blog.naver.com/naddo777/224301803787 | https://blog.naver.com/h2otube/224293627951
