rank,term,count,keywords,sample_titles,sample_links
1,성수,4824,더현대 팝업|무료 전시|서울 데이트|서울 데이트 코스|서울 맛집|서울 전시|서울 카페|서울 팝업스토어|성수 데이트|성수 맛집|성수 카페|성수 팝업|연남동 데이트|연남동 맛집|연남동 카페|을지로 맛집|을지로 카페|잠실 맛집|잠실 카페|한남동 데이트|한남동 맛집|한남동 카페,"자양4동A구역 신통 및 성수동 임장,현장에서만 느낄 수 있는점... | [성수 포켓몬 투어3] 서울 숲 포켓몬 시크릿 포레스트 후기! 최단... | 성수 토이스토리 파파존스 피자플래닛 팝업 총정리 (기간·메뉴...",https://blog.naver.com/sunshine_025/224301824171 | https://blog.naver.com/ejl0304-/224301823835 | https://blog.naver.com/kmiso77/224301821182
2,연남,3091,더현대 팝업|서울 데이트|서울 데이트 코스|서울 맛집|서울 전시|서울 카페|서울 팝업스토어|성수 데이트|성수 맛집|성수 카페|성수 팝업|연남동 데이트|연남동 맛집|연남동 카페|을지로 맛집|을지로 카페|잠실 맛집|잠실 카페|한남동 데이트|한남동 맛집|한남동 카페,[홍대 맛집/만동제과] 연남동 빵집에서 만난 인생 홍대 빵맛집... | 홍대 연남 서울 팔찌 공방 추천 언커무드 가격 친구랑 팔찌... | [연남동]조앤도슨,https://blog.naver.com/rachel_0112/224301828331 | https://blog.naver.com/alldayisnewday/224301827507 | https://blog.naver.com/530justdoit/224301827322
3,연남동,3025,더현대 팝업|서울 데이트|서울 데이트 코스|서울 맛집|서울 카페|서울 팝업스토어|성수 데이트|성수 맛집|성수 카페|성수 팝업|연남동 데이트|연남동 맛집|연남동 카페|을지로 맛집|을지로 카페|잠실 맛집|잠실 카페|한남동 데이트|한남동 맛집|한남동 카페,"[홍대 맛집/만동제과] 연남동 빵집에서 만난 인생 홍대 빵맛집... | [연남동]조앤도슨 | 신상 맛집 5월 오픈, 꼭 알아야 할 정보",https://blog.naver.com/rachel_0112/224301828331 | https://blog.naver.com/530justdoit/224301827322 | https://blog.naver.com/kcl3598/224301028837
4,한남,2466,더현대 팝업|무료 전시|서울 데이트|서울 데이트 코스|서울 맛집|서울 전시|서울 카페|서울 팝업스토어|성수 데이트|성수 맛집|성수 카페|성수 팝업|연남동 맛집|연남동 카페|을지로 맛집|을지로 카페|잠실 맛집|잠실 카페|한남동 데이트|한남동 맛집|한남동 카페,오월 야호-⭐︎ | 한남동 이태리하우스 매매ㅣ복층 펜트하우스 테라스 세대 서울 ... | 한남동 조용한 베이글 맛집 카페 페이퍼블랑 | 패션 5 신상...,https://blog.naver.com/hiyhiy_/224301818873 | https://blog.naver.com/ys1top/224301777346 | https://blog.naver.com/hootooteee/224301776881
5,한남동,2395,무료 전시|서울 데이트|서울 데이트 코스|서울 맛집|서울 전시|서울 카페|서울 팝업스토어|성수 데이트|성수 맛집|성수 카페|성수 팝업|연남동 맛집|연남동 카페|을지로 맛집|을지로 카페|잠실 맛집|잠실 카페|한남동 데이트|한남동 맛집|한남동 카페,한남동 이태리하우스 매매ㅣ복층 펜트하우스 테라스 세대 서울 ... | 한남동 조용한 베이글 맛집 카페 페이퍼블랑 | 패션 5 신상... | 댄스댄스댄스 | 서울 한남동 두부크림치즈 샌드위치 카페 ...,https://blog.naver.com/ys1top/224301777346 | https://blog.naver.com/hootooteee/224301776881 | https://blog.naver.com/mingment11/224301773597
6,잠실,2321,더현대 팝업|무료 전시|서울 데이트|서울 데이트 코스|서울 맛집|서울 전시|서울 카페|서울 팝업스토어|성수 데이트|성수 맛집|성수 카페|성수 팝업|연남동 데이트|연남동 맛집|연남동 카페|을지로 맛집|을지로 카페|잠실 맛집|잠실 카페|한남동 데이트|한남동 맛집|한남동 카페,만도와 그로구 그리고 자네 - 5월 일상 | I love you like fish loves the water | 잠실래미안아이파크 매물 세 자리 정리 — 104D 매매...,https://blog.naver.com/ally010308/224301797085 | https://blog.naver.com/soheon0604/224301790169 | https://blog.naver.com/songpa4988/224301768094
7,을지로,2076,더현대 팝업|서울 데이트|서울 데이트 코스|서울 맛집|서울 전시|서울 카페|서울 팝업스토어|성수 데이트|성수 맛집|성수 카페|성수 팝업|연남동 데이트|연남동 맛집|연남동 카페|을지로 맛집|을지로 카페|잠실 맛집|잠실 카페|한남동 데이트|한남동 맛집|한남동 카페,덕수궁 돌담길 산책 후 광화문 맛집 햄버거 찾는다면?... | 을지로3가역 카페 맛집 코스 추천 | 인현골방·셀러워크꽃밭... | [ 서울 /종로3가] 시애틀 커피하우스 종로3가점 :: 서울 3대...,https://blog.naver.com/jinlogue/224301814082 | https://blog.naver.com/sosolife323/224301806296 | https://blog.naver.com/ggaonii/224301740961
8,홍대,1856,더현대 팝업|무료 전시|서울 데이트|서울 데이트 코스|서울 맛집|서울 전시|서울 카페|서울 팝업스토어|성수 데이트|성수 맛집|성수 카페|성수 팝업|연남동 데이트|연남동 맛집|연남동 카페|을지로 맛집|을지로 카페|잠실 맛집|잠실 카페|한남동 데이트|한남동 맛집|한남동 카페,[홍대 맛집/만동제과] 연남동 빵집에서 만난 인생 홍대 빵맛집... | 홍대 연남 서울 팔찌 공방 추천 언커무드 가격 친구랑 팔찌... | 18.4,https://blog.naver.com/rachel_0112/224301828331 | https://blog.naver.com/alldayisnewday/224301827507 | https://blog.naver.com/wldbsrina/224301819559
9,더현대,954,더현대 팝업|무료 전시|서울 데이트|서울 데이트 코스|서울 맛집|서울 전시|서울 카페|서울 팝업스토어|성수 데이트|성수 맛집|성수 카페|성수 팝업|연남동 데이트|연남동 맛집|연남동 카페|잠실 맛집|잠실 카페|한남동 맛집|한남동 카페,"더현대 카페 카멜커피 ㅣ 믿고 먹는 크림커피 라떼 맛집... | 파주 스타필드 카페 자전거 빌릴 수 있는 팝사이클 | [일상] 이상 (3)_미피, 종이가구, 국립현대미술관 서울 , 줄이어폰",https://blog.naver.com/isyuk104/224301798434 | https://blog.naver.com/hyosunv/224301794172 | https://blog.naver.com/0_0729/224301779252
10,성수동,931,더현대 팝업|무료 전시|서울 데이트|서울 데이트 코스|서울 맛집|서울 전시|서울 카페|서울 팝업스토어|성수 데이트|성수 맛집|성수 카페|성수 팝업|연남동 데이트|연남동 맛집|연남동 카페|을지로 맛집|을지로 카페|잠실 맛집|잠실 카페|한남동 데이트|한남동 맛집|한남동 카페,"자양4동A구역 신통 및 성수동 임장,현장에서만 느낄 수 있는점... | [성수 포켓몬 투어3] 서울 숲 포켓몬 시크릿 포레스트 후기! 최단... | 성수 토이스토리 파파존스 피자플래닛 팝업 총정리 (기간·메뉴...",https://blog.naver.com/sunshine_025/224301824171 | https://blog.naver.com/ejl0304-/224301823835 | https://blog.naver.com/kmiso77/224301821182
