rank,term,count,keywords,sample_titles,sample_links
1,성수,1111,서울 맛집|성수 맛집|연남동 맛집|을지로 맛집|잠실 맛집|한남동 맛집,"[ 서울 /성동구]N번째 방문 성수 햄버거 맛집 “보어드앤헝그리... | [ 서울 맛집 ] 플레이버타운 서울숲 맛집 | 서울 숲 맛집 이오김밥, 재료 꽉 찬 든든한 한 끼",https://blog.naver.com/sunjukitty/224301812894 | https://blog.naver.com/leedakyung98/224301799389 | https://blog.naver.com/uniuni01/224301782940
2,잠실,1051,서울 맛집|성수 맛집|연남동 맛집|을지로 맛집|잠실 맛집|한남동 맛집,[일상] 5월의 마지막 날 | 잠실 서보 • 태국식 덮밥과 국밥 맛집 | [잠실] 1+호주청정와규 샤브 @복면옥 / 2026.05.30,https://blog.naver.com/makqpo_/224301774973 | https://blog.naver.com/sharulog/224301749462 | https://blog.naver.com/seowoo_blog/224301660847
3,을지로,1036,서울 맛집|성수 맛집|연남동 맛집|을지로 맛집|잠실 맛집|한남동 맛집,"을지로 맛집 곰탕 백옥 을지로 점심에도 저녁에도 훌륭한 식당 | 을지로 직장인 점심 해외손님 접대 맛집 추천 (주차 가능) | 을지로 맛집 아재카세 충무로점, 넓은 공간에 알찬 코스까지",https://blog.naver.com/cabotin_8494/224301767395 | https://blog.naver.com/flavoroflife/224301764344 | https://blog.naver.com/gabae1088/224301736612
4,연남,1014,서울 맛집|성수 맛집|연남동 맛집|을지로 맛집|잠실 맛집|한남동 맛집,[연남동 평화연남] 연남동 데이트 코스 추천 낙곱새 맛집 | 연남족발 1987 연남점ㅣ 홍대 튀김족발 맛집 | ‘ 서울 홍대입구역’ 연남술사 | 연남동 요리주점 데이트...,https://blog.naver.com/hooitt/224301786371 | https://blog.naver.com/meong_crab/224301669408 | https://blog.naver.com/pompukong/224301642459
5,연남동,992,서울 맛집|성수 맛집|연남동 맛집|을지로 맛집|잠실 맛집|한남동 맛집,[연남동 평화연남] 연남동 데이트 코스 추천 낙곱새 맛집 | ‘ 서울 홍대입구역’ 연남술사 | 연남동 요리주점 데이트... | 연남동 데이트 코스로 좋은 중화복춘 방문한 후기,https://blog.naver.com/hooitt/224301786371 | https://blog.naver.com/pompukong/224301642459 | https://blog.naver.com/mallang_pudding/224301318939
6,한남,979,서울 맛집|성수 맛집|연남동 맛집|을지로 맛집|잠실 맛집|한남동 맛집,"[ 서울 ] 한남동 '파이프그라운드... 피자 맛집 | 옥수수피자, 매운... | 흑백요리사 이전에 다녀온 모수 서울 , 몇 년이 지나도 기억나는... | [한남 샌드위치 맛집 ] 아침 일찍 문 여는 겉바속촉 샌드위치...",https://blog.naver.com/likedyu/224301624863 | https://blog.naver.com/mj-jimni/224300073130 | https://blog.naver.com/dbrtk95_/224301490541
7,한남동,951,서울 맛집|성수 맛집|연남동 맛집|을지로 맛집|잠실 맛집|한남동 맛집,"[ 서울 ] 한남동 '파이프그라운드... 피자 맛집 | 옥수수피자, 매운... | 흑백요리사 이전에 다녀온 모수 서울 , 몇 년이 지나도 기억나는... | [한남 샌드위치 맛집 ] 아침 일찍 문 여는 겉바속촉 샌드위치...",https://blog.naver.com/likedyu/224301624863 | https://blog.naver.com/mj-jimni/224300073130 | https://blog.naver.com/dbrtk95_/224301490541
8,홍대,562,서울 맛집|성수 맛집|연남동 맛집|을지로 맛집|잠실 맛집|한남동 맛집,[연남동 평화연남] 연남동 데이트 코스 추천 낙곱새 맛집 | 홍대입구역 맛집 와라라훠궈 무한리필로 취향껏 든든하게... | 홍대훠궈 맛집 와라라훠궈 무한리필로 푸짐하게 즐겼어요,https://blog.naver.com/hooitt/224301786371 | https://blog.naver.com/k75mm/224301763865 | https://blog.naver.com/bonggus-bob/224301740332
9,송파,247,서울 맛집|잠실 맛집|한남동 맛집,잠실 서보 • 태국식 덮밥과 국밥 맛집 | 석촌역 2차 술집 데이트 맛집 추천 송파 야키토리 히토츠 | [ 서울 /잠실] 안주 맛있고 분위기 좋은 모임 추천 장소 '윤슬',https://blog.naver.com/sharulog/224301749462 | https://blog.naver.com/dankesong/224301741893 | https://blog.naver.com/yyrrim/224301607734
10,종로,239,서울 맛집|성수 맛집|연남동 맛집|을지로 맛집|잠실 맛집|한남동 맛집,"[ 서울 /동역사] 동대문에서 일정 끝나고 뜨끈한 국밥 한 그릇... | [익선동 맛집 ] 카나르, 백탕 취향도 괜찮게 먹은 오리 육수... | 서울 종각 내돈내산 맛집 데이트 코스 추천 (이가네 양꼬치...",https://blog.naver.com/junwonhee/224301805834 | https://blog.naver.com/mabae29/224301798238 | https://blog.naver.com/pulak47/224301784302
