date,category,region,candidate_name,candidate_type,post_count
2026-05-25,domestic_travel,가평,당일치기 아이와 여행 오픈런,candidate,1
2026-05-25,domestic_travel,가평,당일치기 완벽 가이드 용문산 경기도가족여행,candidate,1
2026-05-25,domestic_travel,가평,대성리역,candidate,1
2026-05-25,domestic_travel,가평,대성리역 닭갈비 맛집 대성리 대가집 애견동반,restaurant,1
2026-05-25,domestic_travel,가평,대표 수상레저 클럽워터 직영펜션에서 올여름,travel_spot,1
2026-05-25,domestic_travel,가평,북한강에서 즐기는 짜릿한 웨이크보드 & 수상,candidate,1
2026-05-25,domestic_travel,가평,서울근교 여행 대가족이 함께한 독채 풀빌라,candidate,1
2026-05-25,domestic_travel,가평,애견카페 디그르르에서 신나게 뛰어놀고 난 뒤,cafe,1
2026-05-25,domestic_travel,가평,여행 클럽워터 숙박패키지에서 즐겨보세요 CL,candidate,1
2026-05-25,domestic_travel,가평,자연 속에서 특별한 여름 추억을 만들어보세요,candidate,1
2026-05-25,domestic_travel,가평,제휴펜션 CLUB WATER 워크샵,travel_spot,1
2026-05-25,domestic_travel,가평,직영펜션 CLUB WATER 워크샵,travel_spot,1
2026-05-25,domestic_travel,강릉,꿀팁까지,candidate,1
2026-05-25,domestic_travel,강릉,당일치기 여행 코스,candidate,1
2026-05-25,domestic_travel,강릉,빵페스타 중간중간 테이블도 많아서 시식을 하,candidate,1
2026-05-25,domestic_travel,강릉,여행 강릉오션뷰,candidate,1
2026-05-25,domestic_travel,강릉,오봉이 해물칼국수 안목해변,travel_spot,1
2026-05-25,domestic_travel,광주,화담숲 화담숲은 6월에 초록 숲길 걷기 좋은,candidate,1
2026-05-25,domestic_travel,대전,대청호,candidate,1
2026-05-25,domestic_travel,대전,대청호 장미축제,attraction,1
2026-05-25,domestic_travel,대전,대청호 장미축제 매년 5월이 되면 사람들은,attraction,1
2026-05-25,domestic_travel,대전,대청호 장미축제 서울 보다 더 예쁜 비밀 여,attraction,1
2026-05-25,domestic_travel,대전,대청호 장미축제 서울 보다 덜 알려져 더 예,attraction,1
2026-05-25,domestic_travel,대전,보다 덜 알려져 더 예쁜 대전 대청호 장미축제,attraction,1
2026-05-25,domestic_travel,대전,비밀 여행 지를 소개할께요 대전 대청호 장미축제,attraction,1
2026-05-25,domestic_travel,대전,예쁜,candidate,1
2026-05-25,domestic_travel,인천,강화도,candidate,1
2026-05-25,domestic_travel,인천,강화도 숨은 명소 Best 5 - 케이드라이,candidate,1
2026-05-25,domestic_travel,인천,국립세계문자박물관,attraction,1
2026-05-25,domestic_travel,인천,내돈내산 선녀풍2호점 솔직 리뷰 영종도식당,restaurant,1
2026-05-25,domestic_travel,인천,놀이공원,travel_spot,1
2026-05-25,domestic_travel,인천,무의도를 찾았습니다 강아지와 함께 바다를 보,restaurant,1
2026-05-25,domestic_travel,인천,아이와,candidate,1
2026-05-25,domestic_travel,인천,지하철,candidate,1
2026-05-25,domestic_travel,인천,지하철 타고 떠나는 바다 감성 여행 월미도,restaurant,1
2026-05-25,food,광주,퇴촌의 가장,candidate,1
2026-05-25,food,광주,화담숲 화담숲은 6월에 초록 숲길 걷기 좋은,candidate,1
2026-05-25,food,수원,2층 외관부터 이국적인 분위기가 물씬 풍겨서,candidate,1
2026-05-25,food,수원,스타필드,candidate,1
2026-05-25,food,인천,국립세계문자박물관,attraction,1
2026-05-25,food,인천,내돈내산 선녀풍2호점 솔직 리뷰 영종도식당,restaurant,1
2026-05-25,food,인천,놀이공원,travel_spot,1
2026-05-25,food,인천,아이와,candidate,1
2026-05-25,food,인천,영종,candidate,1
2026-05-25,food,인천,영종 인스파이어 아레나 푸드코트 고메 빌리지,candidate,1
2026-05-25,food,인천,지하철,candidate,1
2026-05-25,food,인천,지하철 타고 떠나는 바다 감성 여행 월미도,restaurant,1
2026-05-26,domestic_travel,가평,가득했던,candidate,1
2026-05-26,domestic_travel,가평,경기,candidate,1
2026-05-26,domestic_travel,가평,놀러 갔다가 레일바이크도 타고 왔어요,restaurant,1
2026-05-26,domestic_travel,가평,대대 엄청 귀여운 사진도 많이 건짐,candidate,1
2026-05-26,domestic_travel,가평,라벤더축제,attraction,1
2026-05-26,domestic_travel,가평,레일바이크,restaurant,1
2026-05-26,domestic_travel,가평,미쳤던,candidate,1
2026-05-26,domestic_travel,가평,비오는날,candidate,1
2026-05-26,domestic_travel,가평,비오는날 아기와 가볼만한 곳,candidate,1
2026-05-26,domestic_travel,가평,서울근교여행,candidate,1
2026-05-26,domestic_travel,가평,서울근교여행 달빛정원글램핑앤카라반 경기 가평,candidate,1
2026-05-26,domestic_travel,가평,아침고요수목원,candidate,1
2026-05-26,domestic_travel,가평,애견동반,candidate,1
2026-05-26,domestic_travel,가평,양주나리공원,travel_spot,1
2026-05-26,domestic_travel,가평,여름,candidate,1
2026-05-26,domestic_travel,가평,여름 가볼만한곳,candidate,1
2026-05-26,domestic_travel,가평,여름꽃축제,attraction,1
2026-05-26,domestic_travel,가평,여행하면서 묵었던 달빛정원 글램핑앤카라반 숙,candidate,1
2026-05-26,domestic_travel,가평,음악놀이터,candidate,1
2026-05-26,domestic_travel,가평,음악놀이터 서울근교 아이랑 실내 가볼만한 곳,candidate,1
2026-05-26,domestic_travel,가평,자라섬꽃축제,attraction,1
2026-05-26,domestic_travel,가평,추천 BEST3,candidate,1
2026-05-26,domestic_travel,가평,트라움,candidate,1
2026-05-26,domestic_travel,가평,트라움 글램핑 서울 근교 글램핑 찾는 분 감,candidate,1
2026-05-26,domestic_travel,강릉,부산 이유,candidate,1
2026-05-26,domestic_travel,부산,경기강릉,candidate,1
2026-05-26,domestic_travel,부산,이유,candidate,1
2026-05-26,domestic_travel,인천,동인천,candidate,1
2026-05-26,domestic_travel,인천,뚜벅이,candidate,1
2026-05-26,domestic_travel,인천,뚜벅이 데이트 코스,candidate,1
2026-05-26,domestic_travel,인천,아기랑 당일치기 여행 으로 배 타고 힐링하러,candidate,1
2026-05-26,domestic_travel,인천,조양방직,candidate,1
2026-05-26,domestic_travel,인천,풍물시장,travel_spot,1
2026-05-26,food,인천,뚜벅이,candidate,1
2026-05-26,food,인천,뚜벅이 데이트 코스,candidate,1
2026-05-26,food,인천,아기랑 당일치기 여행 으로 배 타고 힐링하러,candidate,1
2026-05-26,food,인천,조양방직,candidate,1
2026-05-26,food,인천,풍물시장,travel_spot,1
2026-05-27,domestic_travel,가평,가족 여행 지,candidate,1
2026-05-27,domestic_travel,가평,가족여행,candidate,1
2026-05-27,domestic_travel,가평,경기도꽃축제,attraction,1
2026-05-27,domestic_travel,가평,동물원,candidate,1
2026-05-27,domestic_travel,가평,물든,candidate,1
2026-05-27,domestic_travel,가평,봄꽃축제,attraction,1
2026-05-27,domestic_travel,가평,빠지 패키지를 발견해서 서울 근교 가평 빠지,candidate,1
2026-05-27,domestic_travel,가평,서울근교 여행 대가족과의 특별한 추억 만들기,candidate,1
2026-05-27,domestic_travel,가평,서울근교여행 달빛정원글램핑앤카라반 빽찌입니다,candidate,1
2026-05-27,domestic_travel,가평,송세원찐빵,candidate,1
2026-05-27,domestic_travel,가평,숙소입니다,travel_spot,1
2026-05-27,domestic_travel,가평,아기랑,candidate,1
2026-05-27,domestic_travel,가평,아기랑 청평호펜션 수상스키 즐길 수 있는 곳,travel_spot,1
2026-05-27,domestic_travel,가평,아이랑갈만한곳,candidate,1
2026-05-27,domestic_travel,가평,안스테이,candidate,1
2026-05-27,domestic_travel,가평,야유회,candidate,1
2026-05-27,domestic_travel,가평,여행 지,candidate,1
2026-05-27,domestic_travel,가평,여행이나 단체 야유회,candidate,1
2026-05-27,domestic_travel,가평,여행하면서 묵었던 달빛동,candidate,1
2026-05-27,domestic_travel,가평,청평호가 한눈에 보이는 펜션에서 스파까지 즐,travel_spot,1
2026-05-27,domestic_travel,가평,카라반,candidate,1
2026-05-27,domestic_travel,가평,캠프게이트,candidate,1
2026-05-27,domestic_travel,가평,포토존,candidate,1
2026-05-27,domestic_travel,가평,환타지콜라보,candidate,1
2026-05-27,domestic_travel,가평,환타지콜라보 이번 여행 은 가평 환타지콜라보,candidate,1
2026-05-27,domestic_travel,대전,한밭수목원은 평탄한 산책로와 넓은 공간이 장,candidate,1
2026-05-27,domestic_travel,부산,초 장미 초여름 산책 부천 장미원 서울 대공원,travel_spot,1
2026-05-27,domestic_travel,부산,태종사 아시죠 꽃,candidate,1
2026-05-27,domestic_travel,인천,뚜벅이,candidate,1
2026-05-27,domestic_travel,인천,맨발로 걷는 팔미도 해변,travel_spot,1
2026-05-27,domestic_travel,인천,분 제대로 나더라고요 서울 근교에서 이렇게 리조트,travel_spot,1
2026-05-27,domestic_travel,인천,서울 경기 근교 당일치기 동인천 뚜벅이 여행,candidate,1
2026-05-27,domestic_travel,인천,영종도,candidate,1
2026-05-27,domestic_travel,인천,영종도 하프마라톤 후폭풍 2시간 35분 웨이,candidate,1
2026-05-27,domestic_travel,인천,인스파이어,candidate,1
