post_id,inferred_category,confidence,matched_keywords
5347a9e3884e00b6,food,0.25,맛집
673369ab7684bff8,food,0.25,맛집
61e508799d363003,food,0.63,맛집|내돈내산|추천
2f2722ee85e6327b,food,0.38,맛집|방문
82b2f6e35a2686a9,food,0.25,맛집
27f0fb6338be760f,food,0.50,맛집|점심
384f3325870fb8a3,food,0.25,맛집
a2a943e317e4d422,food,0.25,맛집
6096f9bfcff9fee1,food,0.38,맛집|후기
2b7c38aba5af7e83,food,0.25,맛집
15b5b686464b512c,food,0.25,맛집
8879bfe2eb242dce,food,0.50,맛집|고기
dcc258ecf70b4431,food,0.25,맛집
2b58ea6e862b2632,food,0.50,맛집|점심
e830682106e1c995,food,0.63,맛집|내돈내산|방문
ffe1831104c55410,food,0.63,맛집|저녁|추천
1b1e0b14616d4685,food,0.50,맛집|술집
282f33268feb666c,food,1.00,맛집|식당|점심|내돈내산|후기
0d32402b55158e88,food,0.25,맛집
efc496603c0a596d,food,0.63,맛집|내돈내산|추천
ea7c348a79a44601,food,0.63,맛집|카페|데이트
3a4b06b55ee54706,food,0.38,맛집|후기
3f20e04b155d084f,food,0.50,맛집|카페
3f20e04b155d084f,domestic_travel,0.25,시장
3867c26e951ae6e9,food,0.25,맛집
6201410fe6af6932,food,0.38,맛집|추천
e28c88aa8c31c5a2,food,0.63,맛집|술집|추천
6f99797ce747aefd,food,0.38,맛집|추천
f74b1933543d7d6c,food,0.50,맛집|식당
23e81d993f59360c,food,0.50,맛집|점심
54868ef79080d56e,food,0.63,맛집|저녁|방문
54868ef79080d56e,domestic_travel,0.38,시장|방문
e0f27d1a3577cada,food,0.75,맛집|고기|방문|추천
e0f27d1a3577cada,domestic_travel,0.25,방문|추천
4ddc24e38eab5b4e,food,0.25,맛집
f69fb2127dea3e59,food,0.38,맛집|후기
eb64674484becad2,food,0.50,맛집|저녁
60056641edec109d,food,0.63,맛집|브런치|방문
67cc9801fd1e8dde,food,0.63,맛집|내돈내산|후기
cb069f29bd352940,food,0.50,맛집|디저트
bd42815eee9b1ae6,food,0.25,맛집
61d88df04d557510,food,0.25,맛집
c0ab5fbb2d948ab0,food,0.25,맛집
29db0fac02304629,food,0.25,맛집
2623c9cdef375466,food,0.50,맛집|식당
2623c9cdef375466,domestic_travel,0.25,시장
77edb37baac53bdc,food,0.50,맛집|방문|후기
77edb37baac53bdc,domestic_travel,0.25,방문|후기
1f34460863182c68,food,0.38,맛집|방문
ff8bae011a5dc251,food,0.75,맛집|점심|라멘
ff8bae011a5dc251,domestic_travel,0.25,시장
ca903146ae9e33e4,food,0.50,맛집|카페
fcc3e7db14d78209,food,0.63,맛집|고기|추천
1b2ff813fe59edce,food,0.25,맛집
d1e5c5d636915484,food,0.38,맛집|방문
ab9c0fc887765634,food,0.63,맛집|내돈내산|방문
474a42d0c029d4f3,food,0.38,맛집|방문
d9ee2280114aecf8,food,0.38,맛집|후기
fcaa5ea921bd80ae,food,0.50,맛집|메뉴
f62cb201c1861e8f,food,0.25,맛집
c297c47359e6d7bd,food,0.38,맛집|방문
872530accdca91c5,food,0.63,맛집|점심|후기
f75b5ffbd8918a27,food,0.75,맛집|메뉴|추천|후기
f75b5ffbd8918a27,domestic_travel,0.25,추천|후기
75a4b0e1ee5ed8a9,food,0.50,맛집|웨이팅
dd147a36efcbea46,food,0.25,맛집
dd147a36efcbea46,domestic_travel,0.50,바다|해변
f4c8b9eb384e6bb7,food,0.25,맛집
a1f85fc02acf33de,food,0.50,맛집|방문|데이트
a1f85fc02acf33de,domestic_travel,0.25,방문|데이트
186d2e1077296138,food,0.63,맛집|디저트|추천
186d2e1077296138,domestic_travel,0.63,당일치기|시장|추천
