post_id,title,description,postdate,link,bloggername,bloggerlink,source_categories,seeds,inferred_categories,regions
5347a9e3884e00b6,구디 회식 맛집 | 숯불닭갈비 무한리필 즐기기 좋은...,"회식 맛집 숯불닭갈비 무한리필 즐기기 좋은 <사계진미숯불닭갈비> 닭갈비 무한리필 런치 18,900원 (3시... #구디회식 맛집 #구디 맛집 #구디닭갈비 #구디무한리필 #구디회식 #구로디지털단지 맛집 #구디단체모임...",2026-05-31,https://blog.naver.com/baeean/224301959988,은봉로그,blog.naver.com/baeean,food,맛집|점심맛집|저녁맛집,food,
673369ab7684bff8,"회사 근처 순대국 맛집 , 송절동 순대국 맛집 ...","바로 송절동에 위치한 순대국 맛집 으로 유명하다고 하니 꼭 가봐야겠더라고요. 위치도 너무 좋고... 또한, 무엇보다도 송절동 순대국 맛집 답게 신선한 재료를 사용하여 요리하며, 요리의 퀄리티가 확실하게...",2026-05-31,https://blog.naver.com/peachesye21/224301960034,peachesye21님의 블로그,blog.naver.com/peachesye21,food,맛집,food,
61e508799d363003,갓포아키 삼성점 | 가성비 카이센동 맛집,#내돈내산 갓포아키 삼성점 출근하면서 지나갈때 마다 글래드 호텔 밑에 간판을 보며 지나 다니고 있었음. 그러던 어느날 유튜버 닥신TV 에서 갓포아키 삼성점 추천 영상이 올라옴 물가비싼 요근처에서...,2026-05-31,https://blog.naver.com/mood__archive_/224301960006,fullmood,blog.naver.com/mood__archive_,food,맛집|내돈내산맛집|점심맛집,food,삼성
2f2722ee85e6327b,코엑스 치맥 맛집 깔끔한 홀 운영에 다양한 안주까지 완벽했던...,"오랜만에 퇴근 후 치맥이 너무 먹고 싶더라구용 코엑스 근처에 여러 맛집 들이 있지만 언제 먹어도... 맛과 분위기, 편의성까지 모두 잡은 코엑스 치맥 맛집 을 찾으신다면 BHC 삼성점을 꼭 한 번 방문해 보시길...",2026-05-31,https://blog.naver.com/ols0120437/224301959829,MOMENT,blog.naver.com/ols0120437,food,맛집,food,삼성|코엑스
82b2f6e35a2686a9,[일본 가고시마 여행] 삿포로풍 카레 돈까스 맛집 '미야타야...,"돈까스 맛집 이 있다는 정보를 입수하고 가고시마 여행을 이어가기 위해 서둘러 아침 체크아웃을 마치고... 가고시마 맛집 매장 내부는 묵직한 다크 우드 톤의 인테리어가 깊은 커피 향과 닮아있어, 머무는...",2026-05-31,https://blog.naver.com/masuwith/224301959129,부미의 여행일기장,blog.naver.com/masuwith,food,맛집,food,
27f0fb6338be760f,2026년 05월_느슨해진 결혼준비에 긴장감을 줘,"나름 한동안 점심은 간단하게 먹으려고 했는데 요새는 거하게 먹는거에 맛들림 ㅎㅎ 콩나물해장국, 선지해장국 등 다양하게 먹었는데 서울에 제주은희네나 중앙해장이나 맛집 이 많아서 넘 좋다 >_< 마곡...",2026-05-31,https://blog.naver.com/bravohyun93/224301959730,브라보 마이 라이프-*,blog.naver.com/bravohyun93,food,맛집|점심맛집,food,마곡|제주
384f3325870fb8a3,무월경 극복 일기,"딱히 먹고 싶지도 않았지만 알고리즘에 도배된 맛집 리스트들을 무작정 저장했다. 알고리즘에는 먹방과 맛집 영상들이 가득 차 있었다. 끼니 먹고, 간식 생각. 아침에 자고 일어나서 자기 전까지 하루의 대부분의...",2026-05-31,https://blog.naver.com/uumeme_26/224301959261,uumeme_26님의 블로그,blog.naver.com/uumeme_26,food,맛집,food,
a2a943e317e4d422,경복궁 야간개장 2026 예약 성공 팁부터 별빛야행까지 총정리,■ 경복궁 근처 맛집 야간관람 전후로 밥 먹을 곳이 필요하잖아요. 경복궁 근처 서촌·삼청동 쪽에... ✅ 광화문 순대국밥 — 밤에 딱 뜨끈한 국물 【 야간관람 끝나고 서촌 쪽으로 10분만 걸어가면 맛집 ...,2026-05-31,https://blog.naver.com/dlwltkd1000/224301959823,이지상의 지상 최대 덕후 리스트,blog.naver.com/dlwltkd1000,food,맛집|저녁맛집,food,서촌|광화문
6096f9bfcff9fee1,충무로 맛집 종로 계림 닭도리탕 알싸한 마늘맛에 중독되는 후기,충무로 맛집 종로계림닭도리탕 정보 운영시간 매일 11:00-22:00 매일 오후 14시 30분 ~ 16시 30분은 브레이크... 종로계림닭도리탕원조 맛집 의 직영점인데요. 본점과 동일한 조리 방식과 비법 양념을 바탕으로 조리해...,2026-05-31,https://blog.naver.com/ddubidubib_life/224301959315,뚜비니의 살아가기,blog.naver.com/ddubidubib_life,food,맛집|점심맛집|저녁맛집,food,종로
2b7c38aba5af7e83,속기사 준비생 5/25~5/31 일기,갑작스러운 이사 이슈가 발생해서 현재 이사 준비중인데 맛집 들을 다 놔두고 가야 한다. bhc 핫 뿌링클을 이번에 처음 먹어 봤는데 약간 치토스치킨과 네네치킨 맥스노윙의 중간맛 같다. 너어어어무 맛있다...,2026-05-31,https://blog.naver.com/nyoung2ne/224301959663,Oh!늘,blog.naver.com/nyoung2ne,food,맛집,food,
15b5b686464b512c,은비쓰 4월 일상 청산함니다,"노포 맛집 마이 알아간다 그렇게 온 #토담집 이날 오징어통찜 뭇어야 했는데 없어가 육전 목어따 .. 노포 감성 낭낭하이 담엔 노상 까고 싶더라 그리고 ,, 스윗보이가 와서 헛개수랑 초코에몽을 주심 . 레쟌드...",2026-05-31,https://blog.naver.com/ef9471/224301959098,맛집과 일상에 진심인 은비쓰,blog.naver.com/ef9471,food,맛집|내돈내산맛집,food,
8879bfe2eb242dce,침산동 한우 침산동 고기집 콜키지프리 고기9단 침산직영점,대구 북구에서 진정한 고기 맛집 을 찾으신다면 주목하셔야 합니다 오늘 소개해드릴 곳은 퀄리티 높은 소고기를 합리적인 가격에 즐길 수 있어 인근 주민들 사이에서 입소문이 자자한 대구 북구 노원동 맛집 ...,2026-05-31,https://blog.naver.com/dhdrummer1/224301959497,H 맛집 여행스토리,blog.naver.com/dhdrummer1,food,맛집|점심맛집,food,대구
