rank,category,region,candidate_name,candidate_type,post_count,sample_titles,sample_links
1,domestic_travel,부산,해운대,candidate,8,"호텔 그랜드 조선 부산 해운대 (Grand Josun Busan) AGODA...|청사포역 카페, 부산 해운대 블루라인파크 근처 청사포의 감성...|[부산/해운대 맛집 ] 싱싱한 자연산 해산물이 3차에 걸쳐 나오는...|부산 해운대 돈까스 맛있는집 좌동 맛집 유유카츠|부산 해운대 혼자 여행 숙소! 부산 해운대 마린캡슐호텔앤스파...",https://blog.naver.com/gotrip2001/224301856000|https://blog.naver.com/poohniestudio/224301751968|https://blog.naver.com/caren1029/224301692566|https://blog.naver.com/jhhha0323/224301557617|https://blog.naver.com/travelnote77/224301845244
2,food,부산,서면,candidate,7,"[부산 서면] 매콤한 쭈꾸미가 땡길땐 홍스쭈꾸미 서면점!|[부산 서면] 서면고기집 소장각, 가성비로 즐기는 소갈비살...|부산 서면 막창 맛집 추천 ｜심형래도 인정한 단골막창 서면점...|부산 서면 수제버거 맛집 치킨버거클럽 후기|부산 서면 전포동 멕시코 타코 맛집 인생 치미창가를 찾은...",https://blog.naver.com/singbbu/224301827645|https://blog.naver.com/ranpunzels/224301775344|https://blog.naver.com/ringildong03/224301768704|https://blog.naver.com/qnzo019/224301713003|https://blog.naver.com/kaylee1216/224301736941
3,domestic_travel,강릉,중앙시장,travel_spot,7,"강릉감자닭강정 중앙시장 포장 후기 강릉 맛집 추천|4월 강릉여행|강릉 핫플 레이스, 중앙시장... 난 강릉중앙시장 찐 핫플 탐방기|갤러리밥스부터 툇마루까지, 아이랑 강릉 2박 3일 핫플 여행|강릉 맛집 중앙시장 맛집 인생물회 육회물회 컵물회",https://blog.naver.com/editorc/224301823035|https://blog.naver.com/dototo_/224301829408|https://blog.naver.com/parkmath68/224301764332|https://blog.naver.com/gmlwjd2829/224301720312|https://blog.naver.com/57136/224301829140
4,food,부산,해운대,candidate,7,"호텔 그랜드 조선 부산 해운대 (Grand Josun Busan) AGODA...|청사포역 카페, 부산 해운대 블루라인파크 근처 청사포의 감성...|[부산/해운대 맛집 ] 싱싱한 자연산 해산물이 3차에 걸쳐 나오는...|부산 해운대 돈까스 맛있는집 좌동 맛집 유유카츠|부산 해운대 혼자 여행 숙소! 부산 해운대 마린캡슐호텔앤스파...",https://blog.naver.com/gotrip2001/224301856000|https://blog.naver.com/poohniestudio/224301751968|https://blog.naver.com/caren1029/224301692566|https://blog.naver.com/jhhha0323/224301557617|https://blog.naver.com/travelnote77/224301845244
5,food,제주,애월,candidate,6,제주 애월 카페 추천 지브리 감성 요거트볼과 치아바타 맛집 ...|제주 애월 해오반 후기 _ 애월 한식 맛집 추천|[제주도] 제주 애월 오션뷰 고기국수 맛집 ‘아침바다 고기...|제주 애월 10만원대 가성비 독채 오션뷰 숙소 ㅣ 에어비앤비 추천|[제주 애월] 랜디스도넛 제주애월점 내돈내산 솔직후기 주차 팁...,https://blog.naver.com/inzero8/224301874058|https://blog.naver.com/jblossom-cheonan/224301794576|https://blog.naver.com/4_15log/224301838672|https://blog.naver.com/lsjsu1241/224301725280|https://blog.naver.com/doorkicker_81/224301546635
6,domestic_travel,가평,자라섬 꽃축제,attraction,6,가평 자라섬 꽃축제 2026 총정리｜남도꽃정원 봄꽃페스타...|자라섬 꽃축제 2026 방문 전 꼭 볼 입장료·주차·꽃 절정 타이밍|자라섬 꽃축제 2026 지금 가기 전 꼭 볼 일정·입장료·셔틀...|자라섬 꽃축제 2026 지금 가도 될까? 일정·입장료·셔틀...|자라섬 꽃축제 2026 지금 가도 좋을까? 입장료·개화시기·동선...,https://blog.naver.com/123whywhy/224299354360|https://blog.naver.com/yhking119/224299046910|https://blog.naver.com/flemznls1/224298925262|https://blog.naver.com/betterthanever0810/224298653145|https://blog.naver.com/kim582777/224298626268
7,domestic_travel,대전,대청호 장미축제,attraction,5,"대청호 장미축제 실시간 개화현황과 무료 주차 꿀팁 총정리|대청호 장미축제는 지금 장미꽃들이 만개 중♡|“ 서울 보다 덜 알려져 더 예쁜 대전 대청호 장미축제”|대전 대청호 장미축제 가볼 만할까? 주차·개화현황·포토존 총정리|대청호 장미축제, 인기이유 후기",https://blog.naver.com/issueletter365/224301618826|https://blog.naver.com/angel79satan/224301819560|https://blog.naver.com/3050035/224295646828|https://blog.naver.com/sldighd1863/224301792243|https://blog.naver.com/kkangpaetokkieeee/224301184821
8,food,대전,성심당,candidate,5,대전 성심당 망고시루 대전 핫플 당일치기 관광지 빵지순례|대전 성심당 구매후기 - 오픈런 없이 인기 빵 구매한 솔직...|#대전 성심당 구매팁 총정리 - 웨이팅 줄이고 인기빵 빠르게...|대전 성심당 근처 맛집 로운 샤브샤브 NC중앙로점 봄메뉴 추천|6월 대전 여행 추천 대전 성심당 시루 케익 전문점 망고롤 구매...,https://blog.naver.com/rafiuta/224301256354|https://blog.naver.com/footneki-v/224301618658|https://blog.naver.com/footneki-v/224299393422|https://blog.naver.com/heomihwa17/224301825484|https://blog.naver.com/kdspmj12/224301254493
9,domestic_travel,대전,성심당,candidate,5,대전 성심당 망고시루 대전 핫플 당일치기 관광지 빵지순례|대전 성심당 구매후기 - 오픈런 없이 인기 빵 구매한 솔직...|#대전 성심당 구매팁 총정리 - 웨이팅 줄이고 인기빵 빠르게...|대전 성심당 근처 맛집 로운 샤브샤브 NC중앙로점 봄메뉴 추천|6월 대전 여행 추천 대전 성심당 시루 케익 전문점 망고롤 구매...,https://blog.naver.com/rafiuta/224301256354|https://blog.naver.com/footneki-v/224301618658|https://blog.naver.com/footneki-v/224299393422|https://blog.naver.com/heomihwa17/224301825484|https://blog.naver.com/kdspmj12/224301254493
10,domestic_travel,제주,애월,candidate,5,제주 애월 해오반 후기 _ 애월 한식 맛집 추천|[제주도] 제주 애월 오션뷰 고기국수 맛집 ‘아침바다 고기...|제주 애월 10만원대 가성비 독채 오션뷰 숙소 ㅣ 에어비앤비 추천|[제주 애월] 랜디스도넛 제주애월점 내돈내산 솔직후기 주차 팁...|제주 애월 새별프렌즈 방문기 귀여운 동물 먹이주기 체험 추천,https://blog.naver.com/jblossom-cheonan/224301794576|https://blog.naver.com/4_15log/224301838672|https://blog.naver.com/lsjsu1241/224301725280|https://blog.naver.com/doorkicker_81/224301546635|https://blog.naver.com/soul21002/224301741099
11,food,광주,연화식당,restaurant,5,"전현무계획 광주 연화식당 예약 주차 혼밥 육전 맛집 위치 총정리|광주 연화식당 가기 전 필독: 육전·룸·방송 소문까지 한 번에...|전현무계획3 광주 육전 맛집 연화식당 위치 가격 주차 팁 총정리|광주 연화식당 혼밥, 육전 때문에 찾았다가 오히려 분위기가 더...|광주 연화식당 가기 전 꼭 볼 정보: 육전·키조개전 메뉴부터...",https://blog.naver.com/overthesense/224301637298|https://blog.naver.com/e150934/224301848407|https://blog.naver.com/tornadoofsoul/224301770965|https://blog.naver.com/attageogi/224301554331|https://blog.naver.com/flemznls1/224301794817
12,food,종로,3가 맛집,restaurant,4,익선동 파스타 맛집 신라호텔 10년 경력 셰프의 독립밀방...|종로 데이트 개나리아구찜 맛집 구운대창구이아구찜 비주얼...|종로3가 맛집 추천 비 오는 날 생각나는 만두전골 맛집 종가만두|종로3가 맛집 <종가만두>｜13... 재방문하고 싶은 수제만두 맛집,https://blog.naver.com/minji9038/224301574094|https://blog.naver.com/soso_common_day/224301571495|https://blog.naver.com/hyeonji4983/224299341138|https://blog.naver.com/kevin6227/224300559052
13,domestic_travel,가평,봄꽃축제,attraction,4,2026 자라섬 꽃페스타 가평 꽃축제 후기 (입장료·주차...|서울 근교 꽃구경 추천! 가평 자라섬 꽃 페스타에서 만나는...|2026 자라섬 꽃 페스타 다녀왔어요! 지금이 가장 예쁠 때|이번 주말 놓치면 1년을 후회합니다! 2026 자라섬 꽃 페스타...,https://blog.naver.com/mmmmbin/224300575415|https://blog.naver.com/usi345/224299351255|https://blog.naver.com/kyju6507/224297372051|https://blog.naver.com/kebaake/224301775851
