rank,category,region,candidate_name,candidate_type,post_count,sample_titles,sample_links
1,domestic_travel,인천,영종도,candidate,10,"Wedding 34. 유연스냅 촬영 후기 : 인천 영종도 베이직(2시간)...|[인천 영종도] 구읍뱃터 맛집 & 숙소 내돈내산 추천|[인천 영종도] 가볼만한곳, 인스파이어 리조트 오아시스...|[인천 영종도] 최고의 호캉스, 아이들과 가도 좋을 인천...|마시안 갯벌체험 인천 영종도 갯벌체험장 준비물 물때 주차",https://blog.naver.com/wofminchae/224301946828|https://blog.naver.com/ssong_day/224301901029|https://blog.naver.com/shlove01299/224301909997|https://blog.naver.com/godjw486/224301703422|https://blog.naver.com/zoe_happy1/224298051056
2,domestic_travel,강릉,중앙시장,travel_spot,10,"강릉 맛집 온정당 강릉 중앙시장 맛집 짬뽕칼국수 옹심이 맛집 !!|강릉 중앙시장 맛집 교동대게 강릉 로컬 맛집|강릉감자닭강정 중앙시장 포장 후기 강릉 맛집 추천|4월 강릉여행|강릉 핫플 레이스, 중앙시장... 난 강릉중앙시장 찐 핫플 탐방기",https://blog.naver.com/toutwri6117/224301949060|https://blog.naver.com/lovejsh85/224301939788|https://blog.naver.com/editorc/224301823035|https://blog.naver.com/dototo_/224301829408|https://blog.naver.com/parkmath68/224301764332
3,food,인천,영종도,candidate,9,Wedding 34. 유연스냅 촬영 후기 : 인천 영종도 베이직(2시간)...|인천 영종도 중산동 맛집 니나노본갈비|[인천 영종도] 구읍뱃터 맛집 & 숙소 내돈내산 추천|인천 영종도|빨간거짱구네 본점,https://blog.naver.com/wofminchae/224301946828|https://blog.naver.com/thstmdwls54/224301755130|https://blog.naver.com/ssong_day/224301901029|https://blog.naver.com/foodietrainee/224301813719|https://blog.naver.com/shlove01299/224301909997
4,food,대구,수성구,candidate,8,"대구 수성구 치킨 덤브치킨 수성점, 아이가 먼저 찾는...|대구 수성구 양념갈비 맛집 / 서민갈비 / 직원이 꾸워주는 고깃집|레시피를 완성시켜준 대구 수성구 신선 정육점 추천 , 우담정육점|대구 수성구 범어동 24시간 영업 만두 맛집 ""대가손만두...|[ 내돈내산 대구 수성구 맛집 ] 착한낙지 수성점｜낙지볶음덮밥...",https://blog.naver.com/yvette24/224301949771|https://blog.naver.com/365ing-/224301942593|https://blog.naver.com/drawingirls/224301818663|https://blog.naver.com/did3473/224301860221|https://blog.naver.com/dogsaunds/224301849703
5,domestic_travel,부산,해운대,candidate,8,"[부산 맛집 ] 해운대 돼지국밥 현지인 맛집 , 서가돼지국밥|호텔 그랜드 조선 부산 해운대 (Grand Josun Busan) AGODA...|청사포역 카페, 부산 해운대 블루라인파크 근처 청사포의 감성...|[부산/해운대 맛집 ] 싱싱한 자연산 해산물이 3차에 걸쳐 나오는...|부산 해운대 LP바 뮤즈온 해운대 데이트코스 추천",https://blog.naver.com/prabhat_kim/224301943263|https://blog.naver.com/gotrip2001/224301856000|https://blog.naver.com/poohniestudio/224301751968|https://blog.naver.com/caren1029/224301692566|https://blog.naver.com/2_s0ey/224301665381
6,food,수원,행궁동,candidate,8,[수원 행궁동] 행궁동 신상 카페 추천 녹크|[수원 행궁동 맛집 ] 분위기에 취하고 맛에 반하는...|수원 행궁동 테라스 카페 추천 노팅힐 베이커리 (딸기케이크 맛집 )|[수원 행궁동 맛집 ]... 맛을 즐길 수 있는 쿼터스트리트 피자 맛집|수원 행궁동 데이트 감성 숙소 추천,https://blog.naver.com/diggingfood/224301945809|https://blog.naver.com/nasang0223/224301932168|https://blog.naver.com/thebagle3/224301814817|https://blog.naver.com/shindenggu/224301694058|https://blog.naver.com/sssony_/224301874562
7,food,대구,교동,candidate,7,대구 중구) 등대 [ 문어숙회삼합 ] 해산물 전문 대구 교동 맛집 ...|대구 교동 술집 교동 조개구이 <남포> 후기|[대구 교동 맛집 ] 대구 교동 조개구이 맛집 남포 교동 핫플|대구 교동 조개구이 맛집 <남포> 내돈내산 조개구이 3~4인 셋트...|[대구 교동 백룸 라운지] 교동칵테일바 교동라운지 힙한술집,https://blog.naver.com/m__moooon/224301950523|https://blog.naver.com/yoobin1218_/224301939458|https://blog.naver.com/cleanm1914/224301897890|https://blog.naver.com/maxmini11/224301891127|https://blog.naver.com/sua__zip/224301618843
8,domestic_travel,가평,자라섬 꽃축제,attraction,7,가평 자라섬 꽃축제 2026 총정리｜남도꽃정원 봄꽃페스타...|자라섬 꽃축제 2026 방문 전 꼭 볼 입장료·주차·꽃 절정 타이밍|자라섬 꽃축제 2026 지금 가기 전 꼭 볼 일정·입장료·셔틀...|자라섬 꽃축제 2026 지금 가도 될까? 일정·입장료·셔틀...|자라섬 꽃축제 2026 지금 가도 좋을까? 입장료·개화시기·동선...,https://blog.naver.com/123whywhy/224299354360|https://blog.naver.com/yhking119/224299046910|https://blog.naver.com/flemznls1/224298925262|https://blog.naver.com/betterthanever0810/224298653145|https://blog.naver.com/kim582777/224298626268
9,food,부산,해운대,candidate,7,"[부산 맛집 ] 해운대 돼지국밥 현지인 맛집 , 서가돼지국밥|호텔 그랜드 조선 부산 해운대 (Grand Josun Busan) AGODA...|청사포역 카페, 부산 해운대 블루라인파크 근처 청사포의 감성...|[부산/해운대 맛집 ] 싱싱한 자연산 해산물이 3차에 걸쳐 나오는...|부산 해운대 게장 맛집 신사꽃게당 해운대점 간장게장 양념게장...",https://blog.naver.com/prabhat_kim/224301943263|https://blog.naver.com/gotrip2001/224301856000|https://blog.naver.com/poohniestudio/224301751968|https://blog.naver.com/caren1029/224301692566|https://blog.naver.com/abc0217_/224301923761
10,domestic_travel,부산,대마도,candidate,6,"부산 대마도 배편 쓰시마링크 가격 대비 만족도|일본만 부산 대마도 배편, 노바호로 떠나는 알찬 여행|부산 대마도 배편 당일치기 쓰시마링크호 예약|부산 대마도 배편 당일치기 여행 구매즉시확정 쓰시마링크호...|부산 대마도 여행 배편 예약 팬스타 쓰시마링크호 히타카츠...",https://blog.naver.com/footing39579/224301429370|https://blog.naver.com/darkchefs/224300813561|https://blog.naver.com/pibilinnae/224300719108|https://blog.naver.com/brand_h/224300090409|https://blog.naver.com/brand_h/224300088635
11,domestic_travel,경주,보문단지,candidate,6,경주 보문단지 맛집 효은옥 경주분점 뼈베레스트 존맛탱|경주 보문단지 밥집 약 20가지 푸짐한 한정식 솔직후기...|경주 보문단지 주변 액티비티 추천: 경주루지월드에서 하루...|경주 보문단지 맛집 맛자랑 불국사 근처 한정식 맛집 돌솥정식...|경주 보문단지 핫플 추천: 안전하고 재미있는 루지 체험,https://blog.naver.com/yozin_/224301911280|https://blog.naver.com/okkk2138/224301924693|https://blog.naver.com/dog5564/224301943678|https://blog.naver.com/mmmu14/224301868528|https://blog.naver.com/kwangsun1125/224301949041
12,food,대구,서문시장,travel_spot,6,"대구 서문시장 블루리본 합천할매손칼국수 다녀와봄|[대구 서문시장 맛집 ] 빨간어묵 원조 맛집 ‘부산어묵장돌이’...|주말 대구 서문시장 나들이｜에덴김밥, 돌쇠떡집, 비즈캐슬...|[대구 서문시장 먹거리] 고소함 폭발! 겉바속촉 추억의 맛...|대구 뚜벅이 혼자 당일치기 여행 가볼만한곳 추천 코스",https://blog.naver.com/enjoy_it_/224301948086|https://blog.naver.com/coma112233/224301849712|https://blog.naver.com/toto_here/224301909991|https://blog.naver.com/coma112233/224301836768|https://blog.naver.com/psybobo11/224301904590
13,domestic_travel,대구,서문시장,travel_spot,6,"대구 서문시장 블루리본 합천할매손칼국수 다녀와봄|[대구 서문시장 맛집 ] 빨간어묵 원조 맛집 ‘부산어묵장돌이’...|주말 대구 서문시장 나들이｜에덴김밥, 돌쇠떡집, 비즈캐슬...|[대구 서문시장 먹거리] 고소함 폭발! 겉바속촉 추억의 맛...|대구 뚜벅이 혼자 당일치기 여행 가볼만한곳 추천 코스",https://blog.naver.com/enjoy_it_/224301948086|https://blog.naver.com/coma112233/224301849712|https://blog.naver.com/toto_here/224301909991|https://blog.naver.com/coma112233/224301836768|https://blog.naver.com/psybobo11/224301904590
14,food,대전,중구,candidate,6,"대전 중구|간편한 한 끼, 감성적인 인테리어의 맛있는 김밥집...|대전 중구 성심당 근처 가성비 칼국수 맛집 [시민칼국수]|대전|중구 성심당근처 맛집 전참시 얼큰이칼국수 복수분식...",https://blog.naver.com/ttuttut/224301906898|https://blog.naver.com/khn5171/224301746453|https://blog.naver.com/aestival08/224301887207|https://blog.naver.com/starstaracademy/224301570569|https://blog.naver.com/jolnsi/224301889869
15,food,제주,공항,candidate,5,"제주 공항 밥집 추천, 오쿠다에서 든든한 솥밥 한 끼|제주 공항 근처 현지인 맛집 산방식당 도청직영점 메뉴 내돈내산|제주 공항 근처 맛집 , 진한 국물이 일품인 신제주 보말칼국수...|6월 제주 공항 근처 아침식사 맛집 카페 아이랑 가족여행...|[제주 제주공항 고사리 육개장] 제주 맛집 <우진해장국> /공항...",https://blog.naver.com/hi_sseung/224301957916|https://blog.naver.com/song0110/224301928662|https://blog.naver.com/kongkong_log/224301743920|https://blog.naver.com/holocelina/224301922269|https://blog.naver.com/y_soo__o/224301446964
16,food,부산,광안리,candidate,5,부산 광안리 맛집 ! 해장성지 아침식사 가능한 로컬 밥집...|부산 광안리 돈까스 맛집 1일 한정메뉴 추천 광안역 근처 헷츠...|부산 광안리 점심 해수욕장 근처 페이센동 광안리점|부산 광안리 다리집 유명한 떡볶이는 먹어줘야 제 맛|[부산 광안리] 부산 당일치기 여행✨,https://blog.naver.com/busanminae/224301859222|https://blog.naver.com/gentry_sy2/224301823374|https://blog.naver.com/kkg5562/224301717091|https://blog.naver.com/happy_dory_/224301906457|https://blog.naver.com/yjo4429/224301663679
17,domestic_travel,부산,광안리,candidate,5,부산 광안리 돈까스 맛집 1일 한정메뉴 추천 광안역 근처 헷츠...|6/12~14 제24회 광안리어방축제 — 부산 광안리 바다가 가장...|[부산 광안리] 부산 당일치기 여행✨|위드요트 부산 광안리 해변출발 해운대 더베이101 야경 폭죽...|부산 광안리 가볼만한곳 놀거리 어방축제 포장마차 포차거리,https://blog.naver.com/gentry_sy2/224301823374|https://blog.naver.com/jiji090/224301769221|https://blog.naver.com/yjo4429/224301663679|https://blog.naver.com/tricolour210/224301902442|https://blog.naver.com/imsogroovy/224301880222
18,food,대구,동성로,candidate,5,"대구 동성로 삼겹살 맛집 “참한집 종로점”, 돼지껍데기까지...|대구 동성로 맛집 신라식당 한일점 내돈내산|대구 동성로 맛집 밥집 카페동이 동성로본점 든든한 가성비...|대구 동성로 양식 맛집 <다나 동성로본점>|데이트 코스...",https://blog.naver.com/yaejin29/224301830342|https://blog.naver.com/mink1004z/224301856634|https://blog.naver.com/naturalree12/224301889537|https://blog.naver.com/ah_rxn/224301693065|https://blog.naver.com/dlwlals2729/224301896325
19,food,대전,둔산동,candidate,5,[대전/둔산동] 불장난 대전 둔산동 술집 안주 추천 찐후기|대전 둔산동 핫플 술집 숯불 맛집 불장난 후기|대전 맛집 둔산동 점심 맛집 가성비 좋은 훈제오리 점심특선...|대전 둔산동 '가츠비' 돈까스 맛집 [ 내돈내산 ]|대전 둔산동 중식집 불타는 반점,https://blog.naver.com/choyeon-_/224301945672|https://blog.naver.com/natae0605/224301894248|https://blog.naver.com/luckeeee/224301821027|https://blog.naver.com/yum-yumlife/224301787713|https://blog.naver.com/corinthians15/224301933116
20,food,대구,삼덕동,candidate,5,[대구 삼덕동] 커알못도 반한 커피 맛집 '수평적관계' 방문 후기|대구 삼덕동 맛집 온담 본점 대구 샤브샤브 편백찜 맛집 추천|(소) ] 상다리 부러지는 푸짐함 대구 삼덕동 횟집 추천|[대구 삼덕동 이자카야 야키토리 맛집 ] 이쵸야 숯불에 직접 굽는...|대구 삼덕동 샌드베이글 맛집 틸베이글,https://blog.naver.com/whalstn38/224301947227|https://blog.naver.com/mmmu14/224301928937|https://blog.naver.com/m__moooon/224301925212|https://blog.naver.com/fpal1742/224301825389|https://blog.naver.com/nabiene/224301928138
21,domestic_travel,제주,서귀포,candidate,5,제주 서귀포 오션뷰 숙소｜가성비 좋은 골든아워제주 내돈내산 ...|제주 서귀포 치유의숲 입니다|제주 서귀포 천지연폭포 야간명소 주차장 정보|주말여행 어디갈지 고민된다면? 제주 서귀포 바다뷰에서 끝내는...|제주 서귀포 신화월드 동물원 모모쥬동물원 카피바라,https://blog.naver.com/hari_u/224301897289|https://blog.naver.com/ikje1225/224301811952|https://blog.naver.com/ssoyeon_yoon/224301699889|https://blog.naver.com/youngvin7205/224300690288|https://blog.naver.com/aasd777/224301902335
22,food,부산,서면,candidate,5,"[부산 서면] 매콤한 쭈꾸미가 땡길땐 홍스쭈꾸미 서면점!|[부산 서면] 서면고기집 소장각, 가성비로 즐기는 소갈비살...|부산 서면 막창 맛집 추천 ｜심형래도 인정한 단골막창 서면점...|부산 서면• 전포 카페_[이즈더네임] 방문 솔직 후기(내돈 내산)|부산 서면 BIFC2몰 실내데이트, 종로문고",https://blog.naver.com/singbbu/224301827645|https://blog.naver.com/ranpunzels/224301775344|https://blog.naver.com/ringildong03/224301768704|https://blog.naver.com/kimeum715/224301693545|https://blog.naver.com/sumin2840/224301932411
23,food,수원,인계동,candidate,5,"모시고 가기 좋은 깔끔한 수원 인계동 한정식 맛집 [이교수 한정식]|수원 인계동 맛집 로마경양식... 전통 돈까스 함박스테이크 맛집|수원 인계동 맛집 - 마장동김씨 수원인계점 (수원시청역...|[카페] 수원 인계동 느좋카페 / 내돈내산 넓고 커피 찐맛도리집...|수원 인계동 점심 맛집 , 쌀국수 포레스트오늘숲",https://blog.naver.com/sooo_thanks/224301951989|https://blog.naver.com/sandy1014/224301777705|https://blog.naver.com/trak89/224301927141|https://blog.naver.com/wanikong/224301785255|https://blog.naver.com/singungi1102/224301913285
24,domestic_travel,가평,자라섬,candidate,5,"가평 자라섬 꽃페스타 실시간 후기｜수국 양귀비 만개, 지금...|가평 자라섬 꽃 페스타 다녀온 후기 생각 없이 갔다가 사진만...|서울 근교 꽃구경 추천! 가평 자라섬 꽃 페스타에서 만나는...|가평 자라섬 꽃축제 2026 총정리｜남도꽃정원 봄꽃페스타...|가평 자라섬 꽃축제 기간 남도 꽃정원 데이트 코스 추천",https://blog.naver.com/hoppog/224301491239|https://blog.naver.com/nana_school/224301396872|https://blog.naver.com/usi345/224299351255|https://blog.naver.com/123whywhy/224299354360|https://blog.naver.com/su_yogi/224301893946
