rank,category,region,candidate_name,candidate_type,post_count,sample_titles,sample_links
1,domestic_travel,강릉,중앙시장,travel_spot,7,"강릉감자닭강정 중앙시장 포장 후기 강릉 맛집 추천|4월 강릉여행|강릉 핫플 레이스, 중앙시장... 난 강릉중앙시장 찐 핫플 탐방기|갤러리밥스부터 툇마루까지, 아이랑 강릉 2박 3일 핫플 여행|강릉 맛집 중앙시장 맛집 인생물회 육회물회 컵물회",https://blog.naver.com/editorc/224301823035|https://blog.naver.com/dototo_/224301829408|https://blog.naver.com/parkmath68/224301764332|https://blog.naver.com/gmlwjd2829/224301720312|https://blog.naver.com/57136/224301829140
2,domestic_travel,가평,자라섬 꽃축제,attraction,6,가평 자라섬 꽃축제 2026 총정리｜남도꽃정원 봄꽃페스타...|자라섬 꽃축제 2026 방문 전 꼭 볼 입장료·주차·꽃 절정 타이밍|자라섬 꽃축제 2026 지금 가기 전 꼭 볼 일정·입장료·셔틀...|자라섬 꽃축제 2026 지금 가도 될까? 일정·입장료·셔틀...|자라섬 꽃축제 2026 지금 가도 좋을까? 입장료·개화시기·동선...,https://blog.naver.com/123whywhy/224299354360|https://blog.naver.com/yhking119/224299046910|https://blog.naver.com/flemznls1/224298925262|https://blog.naver.com/betterthanever0810/224298653145|https://blog.naver.com/kim582777/224298626268
3,domestic_travel,대전,대청호 장미축제,attraction,5,"대청호 장미축제 실시간 개화현황과 무료 주차 꿀팁 총정리|대청호 장미축제는 지금 장미꽃들이 만개 중♡|“ 서울 보다 덜 알려져 더 예쁜 대전 대청호 장미축제”|대전 대청호 장미축제 가볼 만할까? 주차·개화현황·포토존 총정리|대청호 장미축제, 인기이유 후기",https://blog.naver.com/issueletter365/224301618826|https://blog.naver.com/angel79satan/224301819560|https://blog.naver.com/3050035/224295646828|https://blog.naver.com/sldighd1863/224301792243|https://blog.naver.com/kkangpaetokkieeee/224301184821
4,food,광주,연화식당,restaurant,5,"전현무계획 광주 연화식당 예약 주차 혼밥 육전 맛집 위치 총정리|광주 연화식당 가기 전 필독: 육전·룸·방송 소문까지 한 번에...|전현무계획3 광주 육전 맛집 연화식당 위치 가격 주차 팁 총정리|광주 연화식당 혼밥, 육전 때문에 찾았다가 오히려 분위기가 더...|광주 연화식당 가기 전 꼭 볼 정보: 육전·키조개전 메뉴부터...",https://blog.naver.com/overthesense/224301637298|https://blog.naver.com/e150934/224301848407|https://blog.naver.com/tornadoofsoul/224301770965|https://blog.naver.com/attageogi/224301554331|https://blog.naver.com/flemznls1/224301794817
5,domestic_travel,가평,봄꽃축제,attraction,4,2026 자라섬 꽃페스타 가평 꽃축제 후기 (입장료·주차...|서울 근교 꽃구경 추천! 가평 자라섬 꽃 페스타에서 만나는...|2026 자라섬 꽃 페스타 다녀왔어요! 지금이 가장 예쁠 때|이번 주말 놓치면 1년을 후회합니다! 2026 자라섬 꽃 페스타...,https://blog.naver.com/mmmmbin/224300575415|https://blog.naver.com/usi345/224299351255|https://blog.naver.com/kyju6507/224297372051|https://blog.naver.com/kebaake/224301775851
6,domestic_travel,가평,자라섬꽃축제,attraction,4,2026 자라섬 꽃 페스타 총정리｜위치·기간·입장료·주차...|서울 근교 꽃구경 추천! 가평 자라섬 꽃 페스타에서 만나는...|2026 자라섬 꽃 페스타 꽃축제|일정 주차 할인 꿀팁|가평 가볼만한곳 추천 2026 자라섬 꽃축제 다녀온 후기,https://blog.naver.com/boxbox45/224300172384|https://blog.naver.com/usi345/224299351255|https://blog.naver.com/nizekk/224299703527|https://blog.naver.com/sitimibi85/224297294108
7,food,종로,광장시장,travel_spot,3,"광장시장 자매육회집 육회비빕밥 후기|광장시장 맛집 전라도횟집 내돈내산 후기｜모둠회 2인 25...|광장시장 먹거리 투어 후기, 줄 서서 먹은 맛집 4곳",https://blog.naver.com/veritavitia/224301838148|https://blog.naver.com/oburi-/224301407518|https://blog.naver.com/yellowbabo/224301203451
8,food,대구,서문시장,travel_spot,3,"[대구 서문시장 맛집 ] 빨간어묵 원조 맛집 ‘부산어묵장돌이’...|[대구 서문시장 먹거리] 고소함 폭발! 겉바속촉 추억의 맛...|[글쓰기] 260503 : 대구 여행 1일차 / 서문시장, 동성로...",https://blog.naver.com/coma112233/224301849712|https://blog.naver.com/coma112233/224301836768|https://blog.naver.com/kkokkorun/224301643583
9,domestic_travel,대구,서문시장,travel_spot,3,"[대구 서문시장 맛집 ] 빨간어묵 원조 맛집 ‘부산어묵장돌이’...|[대구 서문시장 먹거리] 고소함 폭발! 겉바속촉 추억의 맛...|[글쓰기] 260503 : 대구 여행 1일차 / 서문시장, 동성로...",https://blog.naver.com/coma112233/224301849712|https://blog.naver.com/coma112233/224301836768|https://blog.naver.com/kkokkorun/224301643583
10,domestic_travel,가평,경기도꽃축제,attraction,2,2026 자라섬 꽃 페스타 총정리｜위치·기간·입장료·주차...|2026 자라섬 꽃 페스타 다녀왔어요! 지금이 가장 예쁠 때,https://blog.naver.com/boxbox45/224300172384|https://blog.naver.com/kyju6507/224297372051
11,domestic_travel,가평,고고다이노 키즈호텔,travel_spot,2,서울근교 여행 가평 고고다이노 키즈호텔 특가 예약(테마룸...|고고다이노 키즈호텔 첫 단독 특가 52% 할인 32 → 14만...,https://blog.naver.com/shy0917cjh/224300583214|https://blog.naver.com/bean_urse/224298476039
12,food,수원,광교호수공원,travel_spot,2,"광교 호수공원 맛집 청년감자탕순대국 묵은지감자탕 후기|광교 법조타운 맛집 , 야끼토리잔잔 광교점 후기!",https://blog.naver.com/domdobu/224301759569|https://blog.naver.com/smile085/224301833775
13,domestic_travel,전주,남부시장야시장,travel_spot,2,전주 풍남헌 고택 (한옥스테이) AGODA 아고다 할인받기!!|전주 여행 마지막 밤은 남부시장 야시장으로,https://blog.naver.com/agoda_klook_/224301010240|https://blog.naver.com/harangru/224301226263
14,food,대구,단골식당,restaurant,2,대구 노포감성 제대로인 칠성시작 연탄불고기 찐 맛집 ...|[단골식당 연탄돼지불고기] 백종원 3대천왕 출연한 불향...,https://blog.naver.com/kate_0522/224301578041|https://blog.naver.com/andy_365/224299370604
15,domestic_travel,대구,단골식당,restaurant,2,대구 노포감성 제대로인 칠성시작 연탄불고기 찐 맛집 ...|[단골식당 연탄돼지불고기] 백종원 3대천왕 출연한 불향...,https://blog.naver.com/kate_0522/224301578041|https://blog.naver.com/andy_365/224299370604
16,food,대전,대청호 장미축제,attraction,2,"대청호 장미축제 실시간 개화현황과 무료 주차 꿀팁 총정리|대청호 장미축제, 인기이유 후기",https://blog.naver.com/issueletter365/224301618826|https://blog.naver.com/kkangpaetokkieeee/224301184821
17,domestic_travel,대전,대청호장미축제,attraction,2,대청호 장미축제 실시간 개화현황과 무료 주차 꿀팁 총정리|대전 대청호 장미축제 가볼 만할까? 주차·개화현황·포토존 총정리,https://blog.naver.com/issueletter365/224301618826|https://blog.naver.com/sldighd1863/224301792243
18,domestic_travel,전주,덕진공원,travel_spot,2,"[전주 여행 ] 덕진공원, 전주 온다면 꼭 들려야 할 숨은 명소!|전주 덕진공원 야경 산책 낮보단 밤이 아름답다",https://blog.naver.com/01yuchan/224301752002|https://blog.naver.com/yarn76/224301821831
19,domestic_travel,강릉,사근진해변,travel_spot,2,[강릉 여행 ]엄마와 함께 떠난 강원도 강릉/2박3일|6월의 강원 추천 여행 지는? 강릉 단오제! 화천 파크골프장!,https://blog.naver.com/pricuae123/224301699781|https://blog.naver.com/gwdoraeyo/224297862469
20,domestic_travel,강릉,사천해변,travel_spot,2,"[강릉/사천] 오월의 사천 바다를 잔에 담다, 아들과 함께한...|여름 바다에서 즐기는 차박 캠핑 명소 5곳",https://blog.naver.com/cozzingzzing/224301855216|https://blog.naver.com/rdkeiuy1384/224295237297
21,domestic_travel,가평,아침고요수목원 수국축제,attraction,2,아침고요수목원 수국축제 2026! 기간·찾아가는 길·포토스팟...|가평 아침고요수목원 수국축제 다녀온 후기 사진으로 보던...,https://blog.naver.com/myeong0820/224301121414|https://blog.naver.com/nana_school/224301394724
22,domestic_travel,강릉,안목해변,travel_spot,2,"[강릉 여행 ]엄마와 함께 떠난 강원도 강릉/2박3일|강릉 안목해변 차박, 일출 하나로 유명해진 이유",https://blog.naver.com/pricuae123/224301699781|https://blog.naver.com/medic3939/224300583314
23,domestic_travel,광주,연화식당,restaurant,2,"광주 연화식당 혼밥, 육전 때문에 찾았다가 오히려 분위기가 더...|광주 연화식당 가기 전 꼭 볼 정보: 육전·키조개전 메뉴부터...",https://blog.naver.com/attageogi/224301554331|https://blog.naver.com/flemznls1/224301794817
24,domestic_travel,부산,장승포호텔,travel_spot,2,주차장 최신 사진 업데이트|쉬러 가는 거제,https://blog.naver.com/hhjsp0711/224301274711|https://blog.naver.com/hhjsp0711/224301209568
25,food,광주,전현무계획3 광주 맛집,restaurant,2,"전현무계획3 광주 맛집 3곳 한 번에 정리｜육전·돼지국밥...|전현무계획3 광주 맛집 3 코스 정리: 국밥·오리탕·육전, 방문...",https://blog.naver.com/e150934/224301849679|https://blog.naver.com/flemznls1/224301796267
26,domestic_travel,대전,중앙시장,travel_spot,2,대전|대전중앙시장 내돈내산 맛집 리스트 솔이네계란빵...|대전이 이렇게 좋았어? 당일치기 여행 코스 Best5,https://blog.naver.com/mugja30/224301865406|https://blog.naver.com/whqufdl37/224301687117
27,domestic_travel,부산,화명생태공원,travel_spot,2,6월 7월 부산북구 덕천 금빛 노을 브릿지 여행 추천 주변...|오늘도 만보걷기!,https://blog.naver.com/kdspmj12/224301514888|https://blog.naver.com/bassing82/224301776918
