rank,date,category,region,candidate_name,candidate_type,today_count,previous_average,lift
1,2026-05-31,domestic_travel,강릉,중앙시장,travel_spot,10,0.00,20.00
2,2026-05-31,domestic_travel,부산,해운대,candidate,8,0.00,16.00
3,2026-05-31,food,대구,교동,candidate,7,0.00,14.00
4,2026-05-31,food,부산,해운대,candidate,7,0.00,14.00
5,2026-05-31,food,대구,서문시장,travel_spot,6,0.00,12.00
6,2026-05-31,domestic_travel,대구,서문시장,travel_spot,6,0.00,12.00
7,2026-05-31,domestic_travel,경주,보문단지,candidate,6,0.00,12.00
8,2026-05-31,food,대전,중구,candidate,6,0.00,12.00
9,2026-05-31,food,부산,전포,candidate,5,0.00,10.00
10,2026-05-31,food,제주,공항,candidate,5,0.00,10.00
11,2026-05-31,food,수원,인계동,candidate,5,0.00,10.00
12,2026-05-31,food,대구,중구,candidate,5,0.00,10.00
13,2026-05-31,food,광주,첨단,candidate,5,0.00,10.00
14,2026-05-31,food,대구,삼덕동,candidate,5,0.00,10.00
15,2026-05-31,food,대전,둔산동,candidate,5,0.00,10.00
16,2026-05-31,food,부산,광안리,candidate,5,0.00,10.00
17,2026-05-31,food,대구,동성로,candidate,5,0.00,10.00
18,2026-05-31,food,부산,서면,candidate,5,0.00,10.00
19,2026-05-31,domestic_travel,부산,광안리,candidate,5,0.00,10.00
20,2026-05-31,food,광주,송정역,candidate,4,0.00,8.00
21,2026-05-31,domestic_travel,대구,교동,candidate,4,0.00,8.00
22,2026-05-31,food,대전,봉명동,candidate,4,0.00,8.00
23,2026-05-31,food,광주,전현무계획,candidate,4,0.00,8.00
24,2026-05-31,food,제주,동문시장,travel_spot,4,0.00,8.00
25,2026-05-31,domestic_travel,제주,동문시장,travel_spot,4,0.00,8.00
26,2026-05-31,domestic_travel,대구,동성로,candidate,4,0.00,8.00
27,2026-05-31,domestic_travel,부산,서면,candidate,4,0.00,8.00
28,2026-05-31,food,제주,애월,candidate,4,0.00,8.00
29,2026-05-31,domestic_travel,제주,애월,candidate,4,0.00,8.00
30,2026-05-31,domestic_travel,부산,가성비호텔,travel_spot,4,0.00,8.00
31,2026-05-31,domestic_travel,경주,루지월드,candidate,4,0.00,8.00
32,2026-05-31,food,부산,영도,candidate,3,0.00,6.00
33,2026-05-31,food,부산,손정보쌈,candidate,3,0.00,6.00
34,2026-05-31,food,대구,신세계백화점,candidate,3,0.00,6.00
35,2026-05-31,domestic_travel,대전,한밭수목원,candidate,3,0.00,6.00
36,2026-05-31,food,대구,달서구,candidate,3,0.00,6.00
37,2026-05-31,food,대구,남구,candidate,3,0.00,6.00
38,2026-05-31,domestic_travel,대구,삼덕동,candidate,3,0.00,6.00
39,2026-05-31,domestic_travel,대전,둔산동,candidate,3,0.00,6.00
40,2026-05-31,food,광주,남구,candidate,3,0.00,6.00
41,2026-05-31,food,광주,연화식당,restaurant,3,0.00,6.00
42,2026-05-31,food,대구,서구,candidate,3,0.00,6.00
43,2026-05-31,food,광주,전현무계획3,candidate,3,0.00,6.00
44,2026-05-31,food,부산,수영역,candidate,3,0.00,6.00
45,2026-05-31,domestic_travel,대구,수성구,candidate,3,0.00,6.00
46,2026-05-31,domestic_travel,광주,송정역,candidate,3,0.00,6.00
47,2026-05-31,domestic_travel,부산,전포,candidate,3,0.00,6.00
48,2026-05-31,food,수원,광교호수공원,travel_spot,3,0.00,6.00
49,2026-05-31,food,부산,기장,candidate,3,0.00,6.00
50,2026-05-31,food,부산,가성비,candidate,3,0.00,6.00
51,2026-05-31,domestic_travel,부산,가성비,candidate,3,0.00,6.00
52,2026-05-31,domestic_travel,광주,첨단,candidate,3,0.00,6.00
53,2026-05-31,food,제주,조천,candidate,3,0.00,6.00
54,2026-05-31,domestic_travel,제주,조천,candidate,3,0.00,6.00
55,2026-05-31,domestic_travel,부산,영도,candidate,3,0.00,6.00
56,2026-05-31,domestic_travel,대전,중구,candidate,3,0.00,6.00
57,2026-05-31,domestic_travel,강릉,강원도,candidate,3,0.00,6.00
58,2026-05-31,domestic_travel,광주,경기도,candidate,3,0.00,6.00
59,2026-05-31,domestic_travel,부산,출발,candidate,3,0.00,6.00
60,2026-05-31,domestic_travel,강릉,뚜벅이,candidate,3,0.00,6.00
61,2026-05-31,domestic_travel,제주,동쪽,candidate,3,0.00,6.00
62,2026-05-31,food,대구,수성구,candidate,7,1.00,4.67
63,2026-05-31,food,인천,영종도,candidate,7,1.00,4.67
64,2026-05-31,food,수원,행궁동,candidate,7,1.00,4.67
65,2026-05-31,domestic_travel,인천,영종도,candidate,6,1.00,4.00
66,2026-05-31,food,대구,팔공산,candidate,2,0.00,4.00
67,2026-05-31,food,인천,서구,candidate,2,0.00,4.00
68,2026-05-31,food,대구,안지랑,candidate,2,0.00,4.00
69,2026-05-31,food,제주,표선,candidate,2,0.00,4.00
70,2026-05-31,food,대구,빙수,candidate,2,0.00,4.00
71,2026-05-31,food,제주,보배반점,candidate,2,0.00,4.00
72,2026-05-31,food,대구,신세계,candidate,2,0.00,4.00
73,2026-05-31,food,대전,한밭수목원,candidate,2,0.00,4.00
74,2026-05-31,food,광주,운암동,candidate,2,0.00,4.00
75,2026-05-31,domestic_travel,강릉,온정당,candidate,2,0.00,4.00
76,2026-05-31,food,대구,6기,candidate,2,0.00,4.00
77,2026-05-31,food,종로,구 새문안로5길 37 지하1층 53 광화문 맛집,restaurant,2,0.00,4.00
78,2026-05-31,food,인천,연수구 송도과학로16번길 33-4 D동 1층,candidate,2,0.00,4.00
79,2026-05-31,food,대전,서구,candidate,2,0.00,4.00
80,2026-05-31,food,부산,수영,candidate,2,0.00,4.00
81,2026-05-31,food,부산,스페셜티커피,cafe,2,0.00,4.00
82,2026-05-31,domestic_travel,부산,스페셜티커피,cafe,2,0.00,4.00
83,2026-05-31,food,인천,동인천,candidate,2,0.00,4.00
84,2026-05-31,food,강남,쌀국수,candidate,2,0.00,4.00
85,2026-05-31,food,종로,가성비,candidate,2,0.00,4.00
86,2026-05-31,food,광주,상무지구,candidate,2,0.00,4.00
87,2026-05-31,domestic_travel,대구,서구,candidate,2,0.00,4.00
88,2026-05-31,food,광주,서구,candidate,2,0.00,4.00
89,2026-05-31,food,대구,칠곡,candidate,2,0.00,4.00
90,2026-05-31,food,제주,보말칼국수,candidate,2,0.00,4.00
91,2026-05-31,domestic_travel,경주,불국사,candidate,2,0.00,4.00
92,2026-05-31,food,부산,데이트,candidate,2,0.00,4.00
93,2026-05-31,domestic_travel,부산,데이트,candidate,2,0.00,4.00
94,2026-05-31,domestic_travel,부산,손정보쌈,candidate,2,0.00,4.00
95,2026-05-31,food,대구,범어동,candidate,2,0.00,4.00
96,2026-05-31,food,부산,청사포,candidate,2,0.00,4.00
97,2026-05-31,domestic_travel,부산,청사포,candidate,2,0.00,4.00
98,2026-05-31,food,부산,용호동,candidate,2,0.00,4.00
99,2026-05-31,domestic_travel,부산,용호동,candidate,2,0.00,4.00
100,2026-05-31,food,대전,신세계백화점,candidate,2,0.00,4.00
101,2026-05-31,domestic_travel,대전,신세계백화점,candidate,2,0.00,4.00
102,2026-05-31,domestic_travel,강릉,이모네생선찜,candidate,2,0.00,4.00
103,2026-05-31,food,제주,우진해장국,candidate,2,0.00,4.00
104,2026-05-31,food,대전,있는,candidate,2,0.00,4.00
105,2026-05-31,food,광주,북구,candidate,2,0.00,4.00
106,2026-05-31,food,성수,감성,candidate,2,0.00,4.00
107,2026-05-31,domestic_travel,성수,감성,candidate,2,0.00,4.00
108,2026-05-31,domestic_travel,대구,현지인,candidate,2,0.00,4.00
109,2026-05-31,food,성수,베이커리,cafe,2,0.00,4.00
110,2026-05-31,domestic_travel,성수,베이커리,cafe,2,0.00,4.00
111,2026-05-31,food,부산,당감동,candidate,2,0.00,4.00
112,2026-05-31,domestic_travel,대전,중앙시장,travel_spot,2,0.00,4.00
113,2026-05-31,food,대구,성서,candidate,2,0.00,4.00
114,2026-05-31,food,인천,월미도,candidate,2,0.00,4.00
115,2026-05-31,food,수원,찾은,candidate,2,0.00,4.00
116,2026-05-31,domestic_travel,대구,달서구,candidate,2,0.00,4.00
117,2026-05-31,food,대구,북구,candidate,2,0.00,4.00
118,2026-05-31,domestic_travel,대구,북구,candidate,2,0.00,4.00
119,2026-05-31,domestic_travel,부산,기장,candidate,2,0.00,4.00
120,2026-05-31,food,강남,삼겹살,candidate,2,0.00,4.00
121,2026-05-31,food,대전,소제동,candidate,2,0.00,4.00
122,2026-05-31,domestic_travel,대전,소제동,candidate,2,0.00,4.00
123,2026-05-31,food,부산,동래,candidate,2,0.00,4.00
124,2026-05-31,domestic_travel,부산,동래,candidate,2,0.00,4.00
125,2026-05-31,food,인천,부평,candidate,2,0.00,4.00
126,2026-05-31,domestic_travel,인천,부평,candidate,2,0.00,4.00
127,2026-05-31,food,광주,용봉동,candidate,2,0.00,4.00
128,2026-05-31,domestic_travel,광주,용봉동,candidate,2,0.00,4.00
129,2026-05-31,food,제주,시내,candidate,2,0.00,4.00
130,2026-05-31,domestic_travel,제주,시내,candidate,2,0.00,4.00
131,2026-05-31,domestic_travel,인천,계양,candidate,2,0.00,4.00
132,2026-05-31,food,강남,맛있는,candidate,2,0.00,4.00
133,2026-05-31,food,종로,데이트,candidate,2,0.00,4.00
134,2026-05-31,food,종로,시애틀커피,cafe,2,0.00,4.00
135,2026-05-31,food,종로,3가카페,cafe,2,0.00,4.00
136,2026-05-31,food,강남,파인다이닝,restaurant,2,0.00,4.00
137,2026-05-31,food,부산,가성비호텔,travel_spot,2,0.00,4.00
138,2026-05-31,food,부산,투어,candidate,2,0.00,4.00
139,2026-05-31,domestic_travel,부산,투어,candidate,2,0.00,4.00
140,2026-05-31,food,대구,동대구역,candidate,2,0.00,4.00
141,2026-05-31,food,종로,청계천,candidate,2,0.00,4.00
142,2026-05-31,domestic_travel,부산,남포동,candidate,2,0.00,4.00
143,2026-05-31,food,성수,뚝섬역,candidate,2,0.00,4.00
144,2026-05-31,food,광주,창억떡,candidate,2,0.00,4.00
145,2026-05-31,food,대구,단골식당,restaurant,2,0.00,4.00
146,2026-05-31,domestic_travel,대구,단골식당,restaurant,2,0.00,4.00
147,2026-05-31,food,대구,동구,candidate,2,0.00,4.00
148,2026-05-31,food,부산,남구,candidate,2,0.00,4.00
149,2026-05-31,food,광주,전현무계획3 광주 맛집,restaurant,2,0.00,4.00
150,2026-05-31,food,인천,옥련동,candidate,2,0.00,4.00
151,2026-05-31,food,대구,칠곡3지구,candidate,2,0.00,4.00
152,2026-05-31,food,인천,청라,candidate,2,0.00,4.00
153,2026-05-31,food,광주,생고기,restaurant,2,0.00,4.00
154,2026-05-31,food,광주,꽃보다청춘,candidate,2,0.00,4.00
155,2026-05-31,food,종로,5가맛집,restaurant,2,0.00,4.00
