rank,date,category,region,today_count,previous_average,lift
1,2026-05-31,food,수원,96,1.25,54.86
2,2026-05-31,food,판교,27,0.00,54.00
3,2026-05-31,food,제주,166,3.50,41.50
4,2026-05-31,domestic_travel,제주,167,3.75,39.29
5,2026-05-31,food,광주,117,2.75,36.00
6,2026-05-31,domestic_travel,강릉,96,2.17,36.00
7,2026-05-31,domestic_travel,망원,17,0.00,34.00
8,2026-05-31,food,강릉,80,2.00,32.00
9,2026-05-31,domestic_travel,부산,251,7.50,31.38
10,2026-05-31,food,부산,275,8.50,30.56
11,2026-05-31,food,대구,198,6.00,30.46
12,2026-05-31,food,정자,14,0.00,28.00
13,2026-05-31,food,광명,13,0.00,26.00
14,2026-05-31,domestic_travel,수원,60,1.83,25.71
15,2026-05-31,domestic_travel,광주,77,2.50,25.67
16,2026-05-31,domestic_travel,대구,125,4.50,25.00
17,2026-05-31,domestic_travel,대전,99,3.50,24.75
18,2026-05-31,food,분당,36,1.00,24.00
19,2026-05-31,food,광교,12,0.00,24.00
20,2026-05-31,food,부천,34,1.00,22.67
21,2026-05-31,food,포항,33,1.00,22.00
22,2026-05-31,domestic_travel,이태원,11,0.00,22.00
23,2026-05-31,food,미사,11,0.00,22.00
24,2026-05-31,food,고양,36,1.25,20.57
25,2026-05-31,food,대전,119,5.50,19.83
26,2026-05-31,food,안양,29,1.00,19.33
27,2026-05-31,food,하남,29,1.00,19.33
28,2026-05-31,food,인천,115,5.50,19.17
29,2026-05-31,food,송도,36,1.50,18.00
30,2026-05-31,food,속초,51,2.50,17.00
31,2026-05-31,food,시청,56,3.00,16.00
32,2026-05-31,food,전주,61,3.33,15.91
33,2026-05-31,domestic_travel,전주,66,3.67,15.84
34,2026-05-31,domestic_travel,안양,23,1.00,15.33
35,2026-05-31,domestic_travel,시청,27,1.50,13.50
36,2026-05-31,food,경주,60,4.00,13.33
37,2026-05-31,food,양양,20,1.00,13.33
38,2026-05-31,food,공덕,20,1.00,13.33
39,2026-05-31,food,구리,20,1.00,13.33
40,2026-05-31,food,파주,51,3.50,12.75
41,2026-05-31,domestic_travel,분당,19,1.00,12.67
42,2026-05-31,domestic_travel,포항,31,2.00,12.40
43,2026-05-31,food,여수,43,3.00,12.29
44,2026-05-31,domestic_travel,경주,67,5.00,12.18
45,2026-05-31,domestic_travel,광교,6,0.00,12.00
46,2026-05-31,domestic_travel,노량진,6,0.00,12.00
47,2026-05-31,domestic_travel,고양,23,1.50,11.50
48,2026-05-31,domestic_travel,하남,17,1.00,11.33
49,2026-05-31,domestic_travel,마곡,17,1.00,11.33
50,2026-05-31,food,춘천,37,2.83,11.10
51,2026-05-31,domestic_travel,여수,44,3.50,11.00
52,2026-05-31,domestic_travel,강남,60,5.00,10.91
53,2026-05-31,domestic_travel,판교,15,1.00,10.00
54,2026-05-31,food,익선동,15,1.00,10.00
55,2026-05-31,domestic_travel,인천,105,10.17,9.84
56,2026-05-31,domestic_travel,부천,27,2.25,9.82
57,2026-05-31,domestic_travel,일산,17,1.25,9.71
58,2026-05-31,food,성수,106,10.50,9.64
59,2026-05-31,domestic_travel,송도,19,1.50,9.50
60,2026-05-31,domestic_travel,안국,14,1.00,9.33
61,2026-05-31,food,남양주,33,3.20,8.92
62,2026-05-31,domestic_travel,성수,60,6.33,8.78
63,2026-05-31,domestic_travel,양양,24,2.25,8.73
64,2026-05-31,domestic_travel,북촌,13,1.00,8.67
65,2026-05-31,food,김포,19,1.80,8.26
66,2026-05-31,domestic_travel,속초,53,6.00,8.15
67,2026-05-31,food,의정부,20,2.00,8.00
68,2026-05-31,food,이태원,20,2.00,8.00
69,2026-05-31,domestic_travel,코엑스,12,1.00,8.00
70,2026-05-31,food,명동,51,6.00,7.85
71,2026-05-31,domestic_travel,파주,43,5.00,7.82
72,2026-05-31,food,건대,23,2.50,7.67
73,2026-05-31,food,망원,26,3.00,7.43
74,2026-05-31,food,강동,22,2.50,7.33
75,2026-05-31,domestic_travel,익선동,11,1.00,7.33
76,2026-05-31,food,방배,11,1.00,7.33
77,2026-05-31,food,마곡,29,3.50,7.25
78,2026-05-31,food,서울숲,25,3.00,7.14
79,2026-05-31,domestic_travel,송파,21,2.50,7.00
80,2026-05-31,food,홍대,66,9.00,6.95
81,2026-05-31,food,일산,33,4.33,6.83
82,2026-05-31,domestic_travel,석촌,10,1.00,6.67
83,2026-05-31,domestic_travel,남산,12,1.33,6.55
84,2026-05-31,food,신촌,13,1.50,6.50
85,2026-05-31,food,청담,13,1.50,6.50
86,2026-05-31,food,선릉,19,2.50,6.33
87,2026-05-31,food,연남동,34,5.00,6.18
88,2026-05-31,domestic_travel,잠실,27,4.00,6.00
89,2026-05-31,food,교대,24,3.50,6.00
90,2026-05-31,domestic_travel,합정,15,2.00,6.00
91,2026-05-31,domestic_travel,강동,12,1.50,6.00
92,2026-05-31,domestic_travel,광명,11,1.40,5.79
93,2026-05-31,food,안국,17,2.50,5.67
94,2026-05-31,food,잠실,62,10.50,5.64
95,2026-05-31,food,천호,14,2.00,5.60
96,2026-05-31,domestic_travel,서울숲,14,2.00,5.60
97,2026-05-31,domestic_travel,청담,8,1.00,5.33
98,2026-05-31,domestic_travel,석촌호수,8,1.00,5.33
99,2026-05-31,food,올림픽공원,8,1.00,5.33
