rank,term,count,seed_queries,sample_titles,sample_links
1,내돈내산,49,가볼만한곳|나들이|데이트|일상|팝업|핫플|후기,뮤지컬 서편제 후기 / 광림아트센터 BBCH홀 2층 X열 25번 시야... | # 당산역 맛집 추천｜부엉이산장에서 오나리찜과 육전 먹고 온... | 청주카페/학천탕,https://blog.naver.com/warning-/224301815830 | https://blog.naver.com/dowell2928/224277655404 | https://blog.naver.com/dmstjs5656/224301826128
2,주말나들이,49,가볼만한곳|데이트|핫플,"슈퍼탐사대X 히어로스쿨 1기 후기 | 장미가 이렇게 예쁜 줄 몰랐어요! 전국 장미축제 모아봤어요 | 대학로 연극 후기 | 초등학생과 함께 본 '어서 오세요, 휴남동...",https://blog.naver.com/wonypap/224301832540 | https://blog.naver.com/eunhee_0217/224301822700 | https://blog.naver.com/sms_86/224301819179
3,서이추환영,29,가볼만한곳|데이트|일상|핫플,"의정부 아일랜드 캐슬 워터파크 1만 원대 최저가, 6.1 오전 11시 | ⛰️ 대모산 1시간 컷 가족 등산! (ft. 정상 막걸리 파티... | [내돈내산]씽크웨이 무선 마우스 포타 제로그래비티 곰돌찡...",https://blog.naver.com/howareyoujins/224301709217 | https://blog.naver.com/rkdwltn901/224301815145 | https://blog.naver.com/ksy5302/224301829249
4,서이추,28,가볼만한곳|데이트|일상|핫플,《옥소반》 마곡 맛집 모임/마곡 샤브샤브 맛집! | 뮤지컬 서편제 후기 / 광림아트센터 BBCH홀 2층 X열 25번 시야... | [내돈내산]씽크웨이 무선 마우스 포타 제로그래비티 곰돌찡...,https://blog.naver.com/ae961207/224301832225 | https://blog.naver.com/warning-/224301815830 | https://blog.naver.com/ksy5302/224301829249
5,국내여행,25,가볼만한곳|나들이|데이트|핫플,"의정부 아일랜드 캐슬 워터파크 1만 원대 최저가, 6.1 오전 11시 | 세계 우유의 날(6월 1일), 우유 만나러 떠나는 전국 목장... | 당진 또봄면천 축제 6월 13~14일, 성곽길 달리기부터 카더가든...",https://blog.naver.com/howareyoujins/224301709217 | https://blog.naver.com/captain_limnim/224301740338 | https://blog.naver.com/journalism/224301767792
6,나이트,25,나들이,오늘을 즐기세요. 강북 수유๋่ 샴푸๋่ 나이트๋่... | 오늘을 즐기세요 수원 찬스 돔ة่๊ 나이트ى่๊...,https://blog.naver.com/hftsea/224301831753 | https://blog.naver.com/hftsea/224301831506 | https://blog.naver.com/hftsea/224301831552
7,맛집추천,24,가볼만한곳|나들이|데이트|일상|핫플,"《옥소반》 마곡 맛집 모임/마곡 샤브샤브 맛집! | 백종원 3대천왕에 나온 노원 돈까스 맛집! 상계역 돈까스 먹는... | 대구 동성로 삼겹살 맛집 “참한집 종로점”, 돼지껍데기까지...",https://blog.naver.com/ae961207/224301832225 | https://blog.naver.com/owls-table/224301828766 | https://blog.naver.com/yaejin29/224301830342
8,먹스타그램,22,가볼만한곳|나들이|핫플,# 당산역 맛집 추천｜부엉이산장에서 오나리찜과 육전 먹고 온... | [충북 영동 맛집] 3대 60년 전통의 깊은 맛! 황간역 안성식당... | [김천 맛집] 매콤하고 아삭한 콩나물의 환상 조합! '대구왕뽈찜...,https://blog.naver.com/dowell2928/224277655404 | https://blog.naver.com/chuchu_love_/224301831604 | https://blog.naver.com/jini3656/224301827851
9,아이와 가볼만한곳,22,가볼만한곳,"슈퍼탐사대X 히어로스쿨 1기 후기 | 장미가 이렇게 예쁜 줄 몰랐어요! 전국 장미축제 모아봤어요 | 세계 우유의 날(6월 1일), 우유 만나러 떠나는 전국 목장...",https://blog.naver.com/wonypap/224301832540 | https://blog.naver.com/eunhee_0217/224301822700 | https://blog.naver.com/captain_limnim/224301740338
10,카페추천,22,가볼만한곳|핫플,[마산]-마창대교 뷰 맛집! 귀산 대형 베이커리카페... | [제주 동쪽 감성 카페 추천 ]김녕해수욕장 근처 카페... | 압구정로데오 숨은 감성 명소! 전시도 보고 에이드도 즐긴...,https://blog.naver.com/hacci840/224301803469 | https://blog.naver.com/harugirok21/224301798207 | https://blog.naver.com/syaysa1/224301675008
11,국내여행추천,21,가볼만한곳|핫플,"장미가 이렇게 예쁜 줄 몰랐어요! 전국 장미축제 모아봤어요 | 경쟁률 보고 깜짝 놀랐습니다! 올해 가장 핫한 자연휴양림 정식... | [강진 가볼만한곳 ] 초여름의 싱그러운 낭만, 제3회...",https://blog.naver.com/eunhee_0217/224301822700 | https://blog.naver.com/awesome0254/224300412773 | https://blog.naver.com/dee7781/224301626185
12,카페투어,21,가볼만한곳|나들이|데이트|핫플,"정지영 커피로스터즈 코코넛라떼 | 통영 카페 추천, 바다 풍경이 머무는 감성 여행 코스 가이드 | 브런치 카페 감성 가득! 에그 베네딕트와 상큼한 레몬에이드의...",https://blog.naver.com/jinsolcloud/224301819556 | https://blog.naver.com/2sunshines/224300967639 | https://blog.naver.com/pj32742/224301810376
