rank,place,mention_count,seed_queries,sample_titles,sample_links
1,성수,167,팝업|다녀온|가볼만한곳|전시|데이트|서울|핫플|주말|나들이,"성수 맛집, 힙한 브랜드 팝업 파티장 같은 피제리아 소셜클럽|성수 팝업 토코보 선스틱 , 이니스프리 무빙 팝업 , 클리오 서울숲...|김해 결혼준비, 간단히 알아두기|[성수 포켓몬 투어3] 서울숲 포켓몬 시크릿 포레스트 후기! 최단...|성수 토이스토리 파파존스 피자플래닛 팝업 총정리 (기간·메뉴...",https://blog.naver.com/mamo__all/224301825567|https://blog.naver.com/slpbb/224301825084|https://blog.naver.com/cjfibjq05398_ie/224301525589|https://blog.naver.com/ejl0304-/224301823835|https://blog.naver.com/kmiso77/224301821182
2,수원,118,가볼만한곳|주말|전시|수도권|다녀온|데이트|나들이|방문|핫플|후기|팝업,[수원] 1박2일 여행:: 수원 스타필드 핫쵸|행궁동...|5월도 씩씩하게|2026년 산업통상부 업무 보고 요약|[프롤로그] 웨딩일지 - 결혼식 준비 스타뜨,https://blog.naver.com/myominey/224301824552|https://blog.naver.com/estherkim795/224301820978|https://blog.naver.com/moojisung-titan/224301795293|https://blog.naver.com/ruddlrhdi/224301785976|https://bluebeat.tistory.com/449
3,인천,100,데이트|방문|전시|서울|다녀온|수도권|후기|나들이|핫플|팝업|가볼만한곳,"[서울이스케이프룸] 방탈출 '404호 살인사건' 탈출 성공 후기|[영종하늘도시 키즈쿠킹] 아이들의 맛있는 놀이터, '아이키친...|드라이브로 떠나는 당일치기 여행|[GM/쉐보레]인천계양구 쉐보레 대리점_외관감상기(2026년...|을왕리 카페오라(cafe ORA) 언덕위의 뷰맛집 브런치...",https://blog.naver.com/dun02105/224301832366|https://blog.naver.com/wysjsj0220/224301826553|https://blog.naver.com/madame-song/224301819203|https://blog.naver.com/club8383/224301818478|https://blog.naver.com/ajh325/224301815765
4,강남,89,데이트|일상|후기|오늘|방문|가볼만한곳|팝업|서울|다녀온|주말|수도권|핫플|나들이|전시,강남회식장소 끝판왕 청수횟집 역삼동 자연산 숙성회 맛집|AEO(AI 답변 엔진 최적화)란 진짜 무엇인가? SEO 차이점 및...|양재역 헬스장 자마이카피트니스 강남뱅뱅점 운동과 사우나를...|신논현 맛집 깊고 진한맛을 느낄 수 있는 양양집 신논현점|강남구청양꼬치 육즙 가득한 양왕꼬치와 요리 조합 추천,https://blog.naver.com/jegaryoo23/224301690108|https://blog.naver.com/njoytoday/224301827786|https://blog.naver.com/jinilogin/224301826586|https://blog.naver.com/onlyyou6225/224301826501|https://blog.naver.com/ioloolol/224301825281
5,잠실,83,나들이|후기|데이트|서울|팝업|주말|전시|수도권|방문|다녀온|가볼만한곳|핫플,"[2026,May]바쁜 5월 일상기록|잠실 딘타이펑 롯데월드몰점 실패없는 외식 메뉴 샤오롱바오 맛집|[잠실 맛집] 여전히 핫한 맛의 성지, 에비뉴엘...|잠실 맛집 - 대구의 유명한 감자 막창 [진미 막창]|[잠실] 방이시장 닭강정 맛집 닭강정아 본점｜ 서울 3대 닭강정...",https://blog.naver.com/sksekdmsl/224301832202|https://blog.naver.com/ur_myspring0309/224301830502|https://blog.naver.com/la929988/224300491107|https://blog.naver.com/orisu__/224301822986|https://blog.naver.com/yoo__s2/224301820783
6,홍대,81,데이트|핫플|서울|나들이|오늘|전시|팝업|다녀온|가볼만한곳,서울 홍대 맛집 인기있을만한 홍대 점심 맛집|홍대 카페 [렉터스라운지] 북카페·작업하기 좋은 카페 추천|[홍대 맛집/만동제과] 연남동 빵집에서 만난 인생 홍대 빵맛집...|홍대 연남 서울 팔찌 공방 추천 언커무드 가격 친구랑 팔찌...|홍대맛집 홍대간장게장 홍일품 건강한 간장게장,https://blog.naver.com/wooec35/224301832745|https://blog.naver.com/nyong_hun/224301829763|https://blog.naver.com/rachel_0112/224301828331|https://blog.naver.com/alldayisnewday/224301827507|https://blog.naver.com/goldsinger262/224301376709
7,용산,74,팝업|서울|핫플|주말|데이트|수도권|가볼만한곳|방문|나들이|전시,용산 놀거리 아이파크몰 마블컬렉션 용산점 굿즈 피규어 솔직후기|용산 아이파크몰 맛집 라멘 7층 용산역 멘야 서울|분위기 맛집 용산펍 이태원술집 “코리아호프”|용산 맛집 뜯고기 용산역본점 웨이팅 후기|[한남동 스페인 다이닝 맛집] 레에스티우 런치 가격 주차...,https://blog.naver.com/uni4775/224301832699|https://blog.naver.com/narawh/224301830534|https://blog.naver.com/liena8698_/224301829634|https://blog.naver.com/hsmail0918/224301817828|https://blog.naver.com/jangpan1000won/224301816776
8,종로,64,후기|데이트|핫플|나들이|서울|방문|가볼만한곳|다녀온|전시|팝업,종로3가 숯불구이 맛집 숙달돼지 종각 솔직 후기|안국 맛집 다반에서 정성스러운 한식으로 차분하고 기분 좋은...|[서울/종로] 식물|카페 추천|익선동 데이트코스,https://blog.naver.com/lkjh9879/224301826884|https://blog.naver.com/pp791617/224301826383|https://blog.naver.com/tnwjd2854/224301825776|https://blog.naver.com/ranislog/224300095551|https://blog.naver.com/rlqhrl25/224301667206
9,고양,48,방문|수도권|주말|팝업|데이트|후기|나들이|가볼만한곳|전시|핫플,고양 키즈쿠킹클래스 원데이클래스 야미 쿠킹클래스|[고양 카페 투어] 물구리빵집 샤스타데이지 실시간...|5월 기록|3 2 1 FIGHT!!|[하남 고양이카페] 냥냥하우스,https://blog.naver.com/leeseul1031/224301832772|https://blog.naver.com/pusasa/224301827601|https://blog.naver.com/ykkkkkk_/224301819537|https://blog.naver.com/meezie/224301819327|https://blog.naver.com/yeonii902/224301812132
10,여의도,48,가볼만한곳|데이트|핫플|서울|전시|수도권|주말|나들이|오늘|다녀온|팝업,[캣츠 앤 독스] 하늘에서 본 지구 얀 아르튀스 베르트랑...|공덕역 맛집 모연 여의도 점심 점심특선 한우숯불양념구이...|IFC몰 근처 여의도 양갈비 맛집 관호 여의도본점|< 서울 안심정육> 서여의도점 - 국회의사당역 한우 소고기 점심...|여의도 '더현대서울'에서 <dacor>프리미엄주방가전을 만나다!!,https://blog.naver.com/pink_psycho/224301827570|https://blog.naver.com/ahineee/224301818642|https://blog.naver.com/yeseonm/224301812944|https://blog.naver.com/hanseul73/224301810301|https://blog.naver.com/ygddalchun/224301753952
