rank,date,window_end,category,region,display_name,official_place_name,trend_keyword,trend_keywords,recent_30d_avg,previous_30d_avg,trend_growth,trend_score,weekly_hot_score,match_score,final_hot_score,error
16,2026-06-01,2026-05-31,domestic_travel,대전,대청호 장미축제,대청호 반자연수변공원,대전 대청호 장미축제,대전 대청호 장미축제|대청호 장미축제,10.83,0,10.7912,50,0.86,40,15.6,
6,2026-06-01,2026-05-31,food,광주,연화식당,연화식당,광주 연화식당,광주 연화식당|연화식당,9.12,1.58,3.5401,35.4,2.89,90,12.64,
1,2026-06-01,2026-05-31,domestic_travel,강릉,중앙시장,중앙시장,강릉 중앙시장,강릉 중앙시장|중앙시장,44.91,40.61,1.0794,10.79,9.64,90,9.98,
21,2026-06-01,2026-05-31,domestic_travel,가평,자라섬꽃축제,자라섬 불 꽃축제,가평 자라섬꽃축제,가평 자라섬꽃축제|자라섬꽃축제,33.04,9.93,3.0227,30.23,0,50,9.07,
19,2026-06-01,2026-05-31,domestic_travel,부산,광안리어방축제,광안리어방축제,부산 광안리어방축제,부산 광안리어방축제|광안리어방축제,10.57,2.63,2.915,29.15,0,90,8.74,
20,2026-06-01,2026-05-31,domestic_travel,가평,자라섬 꽃축제,자라섬 불 꽃축제,가평 자라섬 꽃축제,가평 자라섬 꽃축제|자라섬 꽃축제,18.38,5.52,2.8171,28.17,0,50,8.45,
2,2026-06-01,2026-05-31,food,대구,서문시장,서문시장,대구 서문시장,대구 서문시장|서문시장,45.75,38.34,1.1629,11.63,5.79,90,7.54,
3,2026-06-01,2026-05-31,domestic_travel,대구,서문시장,서문시장,대구 서문시장,대구 서문시장|서문시장,45.75,38.34,1.1629,11.63,5.79,90,7.54,
7,2026-06-01,2026-05-31,domestic_travel,강릉,안목해변,안목해변,강릉 안목해변,강릉 안목해변|안목해변,10.07,8.45,1.066,10.66,2.89,90,5.22,
11,2026-06-01,2026-05-31,domestic_travel,강릉,사근진해변,사근진해변,강릉 사근진해변,강릉 사근진해변|사근진해변,7.98,5.26,1.2755,12.76,1.93,90,5.18,
18,2026-06-01,2026-05-31,domestic_travel,가평,고고다이노 키즈호텔,고고다이노 키즈호텔,가평 고고다이노 키즈호텔,가평 고고다이노 키즈호텔|고고다이노 키즈호텔,6.28,3.29,1.4649,14.65,0,90,4.39,
14,2026-06-01,2026-05-31,food,종로,광장시장,광장시장,종로 광장시장,종로 광장시장|광장시장,41.75,41.5,0.9825,9.83,1.93,90,4.3,
5,2026-06-01,2026-05-31,food,수원,광교호수공원,광교호수공원,수원 광교호수공원,수원 광교호수공원|광교호수공원,17.72,22.84,0.7433,7.43,2.89,90,4.25,
13,2026-06-01,2026-05-31,domestic_travel,대전,중앙시장,중앙시장,대전 중앙시장,대전 중앙시장|중앙시장,17.2,16.84,0.964,9.64,1.93,90,4.24,
12,2026-06-01,2026-05-31,food,광주,남도 생고기,남도 생고기,광주 생고기,광주 생고기|생고기,5.68,4.96,0.9528,9.53,1.93,90,4.21,
4,2026-06-01,2026-05-31,domestic_travel,부산,제트 가성비호텔 대연역점,제트 가성비호텔 대연역점,부산 가성비호텔,부산 가성비호텔|가성비호텔,0.88,1,0.4386,4.39,3.86,90,4.02,
15,2026-06-01,2026-05-31,food,강남,파인다이닝,정식당,강남 파인다이닝,강남 파인다이닝|파인다이닝,10.85,12.35,0.8128,8.13,1.07,50,3.19,
9,2026-06-01,2026-05-31,food,대구,단골식당 연탄돼지불고기,단골식당 연탄돼지불고기,대구 단골식당,대구 단골식당|단골식당,2.84,3.65,0.6097,6.1,1.93,90,3.18,
10,2026-06-01,2026-05-31,domestic_travel,대구,단골식당 연탄돼지불고기,단골식당 연탄돼지불고기,대구 단골식당,대구 단골식당|단골식당,2.84,3.65,0.6097,6.1,1.93,90,3.18,
8,2026-06-01,2026-05-31,food,부산,제트 가성비호텔 대연역점,제트 가성비호텔 대연역점,부산 가성비호텔,부산 가성비호텔|가성비호텔,0.71,0.81,0.3918,3.92,1.93,90,2.53,
23,2026-06-01,2026-05-31,domestic_travel,가평,아침고요수목원 수국축제,아침고요수목원,가평 아침고요수목원 수국축제,가평 아침고요수목원 수국축제|아침고요수목원 수국축제,0.71,0,0.7036,7.04,0,50,2.11,
17,2026-06-01,2026-05-31,domestic_travel,가평,아침고요수목원 봄나들이 봄꽃축제,아침고요수목원 봄나들이 봄꽃축제,가평 봄꽃축제,가평 봄꽃축제|봄꽃축제,29.65,57.27,0.5088,5.09,0,90,1.53,
22,2026-06-01,2026-05-31,domestic_travel,가평,경기도꽃축제,자라섬불 꽃축제,가평 경기도꽃축제,가평 경기도꽃축제|경기도꽃축제,2.31,4.82,0.3966,3.97,0,50,1.19,
