rank,date,window_start,window_end,category,region,candidate_name,display_name,official_place_name,event_name,alias_name,match_type,candidate_type,naver_place_category,blog_post_count,weekly_total_count,active_days,weekly_average,today_count,previous_average,previous_6_day_average,daily_increase,lift,match_score,weekly_hot_score,hot_score,address,roadAddress,mapx,mapy,naver_place_link,sample_titles,sample_links
1,2026-05-31,2026-05-25,2026-05-31,domestic_travel,강릉,중앙시장,중앙시장,중앙시장,,,exact_place,travel_spot,"쇼핑,유통>시장",10,10,1,1.43,10,0.00,0.00,10.00,20.00,90,10.29,10.29,강원특별자치도 강릉시 성남동 50,강원특별자치도 강릉시 금성로 21,1288983903,377535620,http://www.gnmarket.or.kr/gnmarket/index.php,"강릉 맛집 온정당 강릉 중앙시장 맛집 짬뽕칼국수 옹심이 맛집 !!|강릉 중앙시장 맛집 교동대게 강릉 로컬 맛집|강릉감자닭강정 중앙시장 포장 후기 강릉 맛집 추천|4월 강릉여행|강릉 핫플 레이스, 중앙시장... 난 강릉중앙시장 찐 핫플 탐방기",https://blog.naver.com/toutwri6117/224301949060|https://blog.naver.com/lovejsh85/224301939788|https://blog.naver.com/editorc/224301823035|https://blog.naver.com/dototo_/224301829408|https://blog.naver.com/parkmath68/224301764332
2,2026-05-31,2026-05-25,2026-05-31,food,대구,서문시장,서문시장,서문시장,,,exact_place,travel_spot,"쇼핑,유통>시장",6,6,1,0.86,6,0.00,0.00,6.00,12.00,90,6.17,6.17,대구광역시 중구 대신동 115-1 서문시장,대구광역시 중구 달성로 50 서문시장,1285802593,358691115,,"대구 서문시장 블루리본 합천할매손칼국수 다녀와봄|[대구 서문시장 맛집 ] 빨간어묵 원조 맛집 ‘부산어묵장돌이’...|주말 대구 서문시장 나들이｜에덴김밥, 돌쇠떡집, 비즈캐슬...|[대구 서문시장 먹거리] 고소함 폭발! 겉바속촉 추억의 맛...|대구 뚜벅이 혼자 당일치기 여행 가볼만한곳 추천 코스",https://blog.naver.com/enjoy_it_/224301948086|https://blog.naver.com/coma112233/224301849712|https://blog.naver.com/toto_here/224301909991|https://blog.naver.com/coma112233/224301836768|https://blog.naver.com/psybobo11/224301904590
3,2026-05-31,2026-05-25,2026-05-31,domestic_travel,대구,서문시장,서문시장,서문시장,,,exact_place,travel_spot,"쇼핑,유통>시장",6,6,1,0.86,6,0.00,0.00,6.00,12.00,90,6.17,6.17,대구광역시 중구 대신동 115-1 서문시장,대구광역시 중구 달성로 50 서문시장,1285802593,358691115,,"대구 서문시장 블루리본 합천할매손칼국수 다녀와봄|[대구 서문시장 맛집 ] 빨간어묵 원조 맛집 ‘부산어묵장돌이’...|주말 대구 서문시장 나들이｜에덴김밥, 돌쇠떡집, 비즈캐슬...|[대구 서문시장 먹거리] 고소함 폭발! 겉바속촉 추억의 맛...|대구 뚜벅이 혼자 당일치기 여행 가볼만한곳 추천 코스",https://blog.naver.com/enjoy_it_/224301948086|https://blog.naver.com/coma112233/224301849712|https://blog.naver.com/toto_here/224301909991|https://blog.naver.com/coma112233/224301836768|https://blog.naver.com/psybobo11/224301904590
4,2026-05-31,2026-05-25,2026-05-31,domestic_travel,부산,가성비호텔,제트 가성비호텔 대연역점,제트 가성비호텔 대연역점,,,exact_place,travel_spot,숙박>모텔,4,4,1,0.57,4,0.00,0.00,4.00,8.00,90,4.11,4.11,부산광역시 남구 대연동 1746-7 1층 제트호텔,부산광역시 남구 유엔평화로4번길 14 1층 제트호텔,1290909943,351346370,https://booking.naver.com/booking/3/bizes/848090,"26. 부산역 호텔 내돈내산 숙박 후기: 브라운도트 위치, 조식...|부산역 호텔 추천! 토요코인 부산역1호점 장단점 총정리|부산 김해공항 근처 호텔 추천, 신라스테이 서부산 장단점 총정리|부산 가성비 여행 의 정석 리순덕 호텔 투숙 후기부터 츤데레...",https://blog.naver.com/sophicare/224301722537|https://blog.naver.com/goodfinds/224301796903|https://blog.naver.com/goodfinds/224301792220|https://blog.naver.com/alsdnd7464/224301508155
5,2026-05-31,2026-05-25,2026-05-31,food,수원,광교호수공원,광교호수공원,광교호수공원,,,exact_place,travel_spot,"여행,명소>도시,테마공원",3,3,1,0.43,3,0.00,0.00,3.00,6.00,90,3.09,3.09,경기도 수원시 영통구 하동 1026-1,경기도 수원시 영통구 광교호수로 165,1270696711,372826146,http://www.gglakepark.or.kr/,"광교 앨리웨이 브런치 맛집 , 위커파크 다녀왔어요|광교 법조타운 맛집 , 야끼토리잔잔 광교점 후기!|광교 호수공원 맛집 청년감자탕순대국 묵은지감자탕 후기",https://blog.naver.com/happy_lively/224301925780|https://blog.naver.com/smile085/224301833775|https://blog.naver.com/domdobu/224301759569
6,2026-05-31,2026-05-25,2026-05-31,food,광주,연화식당,연화식당,연화식당,,,exact_place,restaurant,"한식>육류,고기요리",3,3,1,0.43,3,0.00,0.00,3.00,6.00,90,3.09,3.09,광주광역시 서구 치평동 241-3 아트빌,광주광역시 서구 마륵복개로 147 아트빌,1268530929,351478649,,"광주 연화식당 가기 전 필독: 육전·조기탕 메뉴와 예약·주차 꿀팁|전현무계획 광주 연화식당 예약 주차 혼밥 육전 맛집 위치 총정리|광주 연화식당 혼밥, 육전 때문에 찾았다가 오히려 분위기가 더...",https://blog.naver.com/84uzmav/224301938730|https://blog.naver.com/overthesense/224301637298|https://blog.naver.com/attageogi/224301554331
7,2026-05-31,2026-05-25,2026-05-31,domestic_travel,강릉,안목해변,안목해변,안목해변,,,exact_place,travel_spot,"여행,명소>해수욕장,해변",4,4,2,0.57,3,1.00,0.17,2.83,2.00,90,3.06,3.06,강원특별자치도 강릉시 견소동 287-112,강원특별자치도 강릉시 창해로14번길 20-1,1289477906,377725747,http://anmokbeach.co.kr,"바다가 안녕이라 그랬어요!|[강릉 여행 ]엄마와 함께 떠난 강원도 강릉 2박3일/1일차|강릉 안목해변 차박, 일출 하나로 유명해진 이유|반려견과 떠나는 힐링여행, 강릉 펫 가족 힐링페스티벌 2026...",https://blog.naver.com/milkjelly79/224301947984|https://blog.naver.com/pricuae123/224301699781|https://blog.naver.com/medic3939/224300583314|https://blog.naver.com/moonlight_800/224298400527
8,2026-05-31,2026-05-25,2026-05-31,food,부산,가성비호텔,제트 가성비호텔 대연역점,제트 가성비호텔 대연역점,,,exact_place,travel_spot,숙박>모텔,2,2,1,0.29,2,0.00,0.00,2.00,4.00,90,2.06,2.06,부산광역시 남구 대연동 1746-7 1층 제트호텔,부산광역시 남구 유엔평화로4번길 14 1층 제트호텔,1290909943,351346370,https://booking.naver.com/booking/3/bizes/848090,"26. 부산역 호텔 내돈내산 숙박 후기: 브라운도트 위치, 조식...|부산 가성비 여행 의 정석 리순덕 호텔 투숙 후기부터 츤데레...",https://blog.naver.com/sophicare/224301722537|https://blog.naver.com/alsdnd7464/224301508155
9,2026-05-31,2026-05-25,2026-05-31,food,대구,단골식당,단골식당 연탄돼지불고기,단골식당 연탄돼지불고기,,,exact_place,restaurant,음식점>한식,2,2,1,0.29,2,0.00,0.00,2.00,4.00,90,2.06,2.06,"대구광역시 북구 칠성동1가 92-6 1,2층","대구광역시 북구 칠성시장로7길 9-1 1,2층",1286036874,358759585,,대구 노포감성 제대로인 칠성시작 연탄불고기 찐 맛집 ...|[단골식당 연탄돼지불고기] 백종원 3대천왕 출연한 불향...,https://blog.naver.com/kate_0522/224301578041|https://blog.naver.com/andy_365/224299370604
10,2026-05-31,2026-05-25,2026-05-31,domestic_travel,대구,단골식당,단골식당 연탄돼지불고기,단골식당 연탄돼지불고기,,,exact_place,restaurant,음식점>한식,2,2,1,0.29,2,0.00,0.00,2.00,4.00,90,2.06,2.06,"대구광역시 북구 칠성동1가 92-6 1,2층","대구광역시 북구 칠성시장로7길 9-1 1,2층",1286036874,358759585,,대구 노포감성 제대로인 칠성시작 연탄불고기 찐 맛집 ...|[단골식당 연탄돼지불고기] 백종원 3대천왕 출연한 불향...,https://blog.naver.com/kate_0522/224301578041|https://blog.naver.com/andy_365/224299370604
