place_id,official_place_name,naver_place_category,address,road_address,map_x,map_y,naver_place_link
1,중앙시장,"쇼핑,유통>시장",강원특별자치도 강릉시 성남동 50,강원특별자치도 강릉시 금성로 21,1288983903,377535620,http://www.gnmarket.or.kr/gnmarket/index.php
2,연화식당,"한식>육류,고기요리",광주광역시 서구 치평동 241-3 아트빌,광주광역시 서구 마륵복개로 147 아트빌,1268530929,351478649,
3,서문시장,"쇼핑,유통>시장",대구광역시 중구 대신동 115-1 서문시장,대구광역시 중구 달성로 50 서문시장,1285802593,358691115,
4,광교호수공원,"여행,명소>도시,테마공원",경기도 수원시 영통구 하동 1026-1,경기도 수원시 영통구 광교호수로 165,1270696711,372826146,http://www.gglakepark.or.kr/
5,단골식당 연탄돼지불고기,음식점>한식,"대구광역시 북구 칠성동1가 92-6 1,2층","대구광역시 북구 칠성시장로7길 9-1 1,2층",1286036874,358759585,
6,사근진해변,"여행,명소>해수욕장,해변",강원특별자치도 강릉시 안현동 2-7,강원특별자치도 강릉시 해안로604번길 16,1288990719,378128825,http://sagunjin.co.kr
7,중앙시장,"쇼핑,유통>시장",대전광역시 동구 중동 317,대전광역시 동구 중앙로 200-1,1274319380,363298389,
8,화명생태공원,"여행,명소>자연,생태공원",부산광역시 북구 화명동 1718-17,부산광역시 북구,1290041500,352310095,http://www.busan.go.kr/nakdong/hwamyungpark01
9,전주덕진공원,"여행,명소>근린공원",전북특별자치도 전주시 덕진구 덕진동1가 1316-2 전주덕진공원,전북특별자치도 전주시 덕진구 권삼득로 390-1 전주덕진공원,1271227180,358479519,https://blog.naver.com/jeonjudeokjinpark
10,사천해변,"여행,명소>해수욕장,해변",강원특별자치도 강릉시 사천면,,1288784877,378300323,http://sacheonbeach.co.kr
11,아침고요수목원 봄나들이 봄꽃축제,"여행,명소>꽃축제",경기도 가평군 상면 임초리 629-13,,1273521916,377425540,http://korean.visitkorea.or.kr/kor/inut/where/festival/festival.jsp?cid=989991
12,대청호 반자연수변공원,"여행,명소>도시,테마공원",대전광역시 동구 추동 328,,1274743212,363727846,
13,자라섬 불 꽃축제,"여행,명소>꽃축제",경기도 가평군 가평읍 대곡리 27-14,경기도 가평군 가평읍 자라섬로 60,1275231630,378182034,
14,광장시장,"쇼핑,유통>시장",서울특별시 종로구 예지동 2-1,서울특별시 종로구 창경궁로 88,1269990691,375701661,http://kwangjangmarket.co.kr/
15,고고다이노 키즈호텔,숙박>펜션,경기도 가평군 설악면 사룡리 595-3 고고다이노 키즈호텔,경기도 가평군 설악면 자잠로 229 고고다이노 키즈호텔,1274881086,376944931,http://gogodinokids-hotel.kr/
16,안목해변,"여행,명소>해수욕장,해변",강원특별자치도 강릉시 견소동 287-112,강원특별자치도 강릉시 창해로14번길 20-1,1289477906,377725747,http://anmokbeach.co.kr
17,자라섬불 꽃축제,"여행,명소>꽃축제",경기도 가평군 가평읍 대곡리 27-14,경기도 가평군 가평읍 자라섬로 60,1275231630,378182034,
18,아침고요수목원,"여행,명소>식물원,수목원",경기도 가평군 상면 행현리 623-3,경기도 가평군 상면 수목원로 432,1273525250,377427259,https://www.instagram.com/morningcalm_garden/
19,하운드 호텔 거제 장승포 점,숙박>호텔,경상남도 거제시 장승포동 490,경상남도 거제시 능포로 52,1287269459,348695669,https://blog.naver.com/hhjsp0711
