category,region,candidate_name,candidate_type,blog_post_count,match_status,match_type,match_score,today_count,previous_average,lift,naver_place_title,naver_place_category,address,roadAddress,mapx,mapy,naver_place_link,sample_links
domestic_travel,강릉,중앙시장,travel_spot,10,verified,exact_place,90,10,0.00,20.00,중앙시장,"쇼핑,유통>시장",강원특별자치도 강릉시 성남동 50,강원특별자치도 강릉시 금성로 21,1288983903,377535620,http://www.gnmarket.or.kr/gnmarket/index.php,https://blog.naver.com/toutwri6117/224301949060|https://blog.naver.com/lovejsh85/224301939788|https://blog.naver.com/editorc/224301823035|https://blog.naver.com/dototo_/224301829408|https://blog.naver.com/parkmath68/224301764332
food,대구,서문시장,travel_spot,6,verified,exact_place,90,6,0.00,12.00,서문시장,"쇼핑,유통>시장",대구광역시 중구 대신동 115-1 서문시장,대구광역시 중구 달성로 50 서문시장,1285802593,358691115,,https://blog.naver.com/enjoy_it_/224301948086|https://blog.naver.com/coma112233/224301849712|https://blog.naver.com/toto_here/224301909991|https://blog.naver.com/coma112233/224301836768|https://blog.naver.com/psybobo11/224301904590
domestic_travel,대구,서문시장,travel_spot,6,verified,exact_place,90,6,0.00,12.00,서문시장,"쇼핑,유통>시장",대구광역시 중구 대신동 115-1 서문시장,대구광역시 중구 달성로 50 서문시장,1285802593,358691115,,https://blog.naver.com/enjoy_it_/224301948086|https://blog.naver.com/coma112233/224301849712|https://blog.naver.com/toto_here/224301909991|https://blog.naver.com/coma112233/224301836768|https://blog.naver.com/psybobo11/224301904590
domestic_travel,부산,가성비호텔,travel_spot,4,verified,exact_place,90,4,0.00,8.00,제트 가성비호텔 대연역점,숙박>모텔,부산광역시 남구 대연동 1746-7 1층 제트호텔,부산광역시 남구 유엔평화로4번길 14 1층 제트호텔,1290909943,351346370,https://booking.naver.com/booking/3/bizes/848090,https://blog.naver.com/sophicare/224301722537|https://blog.naver.com/goodfinds/224301796903|https://blog.naver.com/goodfinds/224301792220|https://blog.naver.com/alsdnd7464/224301508155
domestic_travel,강릉,안목해변,travel_spot,4,verified,exact_place,90,3,1.00,2.00,안목해변,"여행,명소>해수욕장,해변",강원특별자치도 강릉시 견소동 287-112,강원특별자치도 강릉시 창해로14번길 20-1,1289477906,377725747,http://anmokbeach.co.kr,https://blog.naver.com/milkjelly79/224301947984|https://blog.naver.com/pricuae123/224301699781|https://blog.naver.com/medic3939/224300583314|https://blog.naver.com/moonlight_800/224298400527
food,수원,광교호수공원,travel_spot,3,verified,exact_place,90,3,0.00,6.00,광교호수공원,"여행,명소>도시,테마공원",경기도 수원시 영통구 하동 1026-1,경기도 수원시 영통구 광교호수로 165,1270696711,372826146,http://www.gglakepark.or.kr/,https://blog.naver.com/happy_lively/224301925780|https://blog.naver.com/smile085/224301833775|https://blog.naver.com/domdobu/224301759569
food,광주,연화식당,restaurant,3,verified,exact_place,90,3,0.00,6.00,연화식당,"한식>육류,고기요리",광주광역시 서구 치평동 241-3 아트빌,광주광역시 서구 마륵복개로 147 아트빌,1268530929,351478649,,https://blog.naver.com/84uzmav/224301938730|https://blog.naver.com/overthesense/224301637298|https://blog.naver.com/attageogi/224301554331
food,종로,광장시장,travel_spot,3,verified,exact_place,90,2,1.00,1.33,광장시장,"쇼핑,유통>시장",서울특별시 종로구 예지동 2-1,서울특별시 종로구 창경궁로 88,1269990691,375701661,http://kwangjangmarket.co.kr/,https://blog.naver.com/veritavitia/224301838148|https://blog.naver.com/oburi-/224301407518|https://blog.naver.com/yellowbabo/224301203451
food,부산,가성비호텔,travel_spot,2,verified,exact_place,90,2,0.00,4.00,제트 가성비호텔 대연역점,숙박>모텔,부산광역시 남구 대연동 1746-7 1층 제트호텔,부산광역시 남구 유엔평화로4번길 14 1층 제트호텔,1290909943,351346370,https://booking.naver.com/booking/3/bizes/848090,https://blog.naver.com/sophicare/224301722537|https://blog.naver.com/alsdnd7464/224301508155
food,대구,단골식당,restaurant,2,verified,exact_place,90,2,0.00,4.00,단골식당 연탄돼지불고기,음식점>한식,"대구광역시 북구 칠성동1가 92-6 1,2층","대구광역시 북구 칠성시장로7길 9-1 1,2층",1286036874,358759585,,https://blog.naver.com/kate_0522/224301578041|https://blog.naver.com/andy_365/224299370604
domestic_travel,대구,단골식당,restaurant,2,verified,exact_place,90,2,0.00,4.00,단골식당 연탄돼지불고기,음식점>한식,"대구광역시 북구 칠성동1가 92-6 1,2층","대구광역시 북구 칠성시장로7길 9-1 1,2층",1286036874,358759585,,https://blog.naver.com/kate_0522/224301578041|https://blog.naver.com/andy_365/224299370604
domestic_travel,강릉,사근진해변,travel_spot,2,verified,exact_place,90,2,0.00,4.00,사근진해변,"여행,명소>해수욕장,해변",강원특별자치도 강릉시 안현동 2-7,강원특별자치도 강릉시 해안로604번길 16,1288990719,378128825,http://sagunjin.co.kr,https://blog.naver.com/pricuae123/224301699781|https://blog.naver.com/gwdoraeyo/224297862469
food,광주,생고기,restaurant,2,verified,exact_place,90,2,0.00,4.00,남도 생고기,"한식>육류,고기요리",광주광역시 서구 쌍촌동 1362-5 남도생고기,광주광역시 서구 상일로 4-1 남도생고기,1268632015,351559258,,https://blog.naver.com/tts84/224301904375|https://blog.naver.com/justlaben/224301916048
domestic_travel,대전,중앙시장,travel_spot,2,verified,exact_place,90,2,0.00,4.00,중앙시장,"쇼핑,유통>시장",대전광역시 동구 중동 317,대전광역시 동구 중앙로 200-1,1274319380,363298389,,https://blog.naver.com/mugja30/224301865406|https://blog.naver.com/whqufdl37/224301687117
food,강남,파인다이닝,restaurant,2,review,alias_match,50,2,0.00,4.00,정식당,음식점>한식,서울특별시 강남구 청담동 83-24,서울특별시 강남구 선릉로158길 11,1270410861,375256529,https://www.jungsik.kr,https://blog.naver.com/6607144/224299479151|https://blog.naver.com/buyhan1/224301702813
domestic_travel,대전,대청호 장미축제,attraction,3,review,event_on_place,40,2,1.00,1.33,대청호 반자연수변공원,"여행,명소>도시,테마공원",대전광역시 동구 추동 328,,1274743212,363727846,,https://blog.naver.com/issueletter365/224301618826|https://blog.naver.com/angel79satan/224301819560|https://blog.naver.com/3050035/224295646828
domestic_travel,가평,봄꽃축제,attraction,3,verified,exact_place,90,,,,아침고요수목원 봄나들이 봄꽃축제,"여행,명소>꽃축제",경기도 가평군 상면 임초리 629-13,,1273521916,377425540,http://korean.visitkorea.or.kr/kor/inut/where/festival/festival.jsp?cid=989991,https://blog.naver.com/mmmmbin/224300575415|https://blog.naver.com/usi345/224299351255|https://blog.naver.com/kyju6507/224297372051
domestic_travel,가평,고고다이노 키즈호텔,travel_spot,2,verified,exact_place,90,,,,고고다이노 키즈호텔,숙박>펜션,경기도 가평군 설악면 사룡리 595-3 고고다이노 키즈호텔,경기도 가평군 설악면 자잠로 229 고고다이노 키즈호텔,1274881086,376944931,http://gogodinokids-hotel.kr/,https://blog.naver.com/shy0917cjh/224300583214|https://blog.naver.com/bean_urse/224298476039
domestic_travel,부산,광안리어방축제,attraction,2,verified,exact_place,90,,,,광안리어방축제,"여행,명소>축제,행사",부산광역시 수영구 광안동 281-6,,1291174637,351519378,,https://blog.naver.com/zzz-trucker/224300675929|https://blog.naver.com/moondrift/224301904724
domestic_travel,가평,자라섬 꽃축제,attraction,7,review,event_on_place,50,,,,자라섬 불 꽃축제,"여행,명소>꽃축제",경기도 가평군 가평읍 대곡리 27-14,경기도 가평군 가평읍 자라섬로 60,1275231630,378182034,,https://blog.naver.com/123whywhy/224299354360|https://blog.naver.com/yhking119/224299046910|https://blog.naver.com/flemznls1/224298925262|https://blog.naver.com/betterthanever0810/224298653145|https://blog.naver.com/kim582777/224298626268
domestic_travel,가평,자라섬꽃축제,attraction,4,review,event_on_place,50,,,,자라섬 불 꽃축제,"여행,명소>꽃축제",경기도 가평군 가평읍 대곡리 27-14,경기도 가평군 가평읍 자라섬로 60,1275231630,378182034,,https://blog.naver.com/boxbox45/224300172384|https://blog.naver.com/usi345/224299351255|https://blog.naver.com/nizekk/224299703527|https://blog.naver.com/sitimibi85/224297294108
domestic_travel,가평,경기도꽃축제,attraction,2,review,event_on_place,50,,,,자라섬불 꽃축제,"여행,명소>꽃축제",경기도 가평군 가평읍 대곡리 27-14,경기도 가평군 가평읍 자라섬로 60,1275231630,378182034,,https://blog.naver.com/boxbox45/224300172384|https://blog.naver.com/kyju6507/224297372051
domestic_travel,가평,아침고요수목원 수국축제,attraction,2,review,event_on_place,50,,,,아침고요수목원,"여행,명소>식물원,수목원",경기도 가평군 상면 행현리 623-3,경기도 가평군 상면 수목원로 432,1273525250,377427259,https://www.instagram.com/morningcalm_garden/,https://blog.naver.com/myeong0820/224301121414|https://blog.naver.com/nana_school/224301394724
